Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
BFJ.2_L1_R1	(50, 13294.0)	(55, 13844.0)	(60, 15102.0)	(65, 17095.0)	(70, 18537.0)	(75, 21589.0)	(80, 25210.0)	(85, 26149.0)	(90, 27068.0)	(95, 29177.0)	(100, 31409.0)	(105, 31904.0)	(110, 32204.0)	(115, 32313.0)	(120, 32733.0)	(125, 32928.0)	(130, 33535.0)	(135, 34552.0)	(140, 33225.0)	(145, 424333.0)	(150, 48901094.0)
BFJ.2_L1_R2	(50, 14118.0)	(55, 16359.0)	(60, 19537.0)	(65, 25867.0)	(70, 31226.0)	(75, 39503.0)	(80, 50382.0)	(85, 57951.0)	(90, 59764.0)	(95, 63860.0)	(100, 67499.0)	(105, 67821.0)	(110, 70105.0)	(115, 77119.0)	(120, 74712.0)	(125, 75368.0)	(130, 79576.0)	(135, 81356.0)	(140, 81861.0)	(145, 583918.0)	(150, 48189393.0)
BFJ.2_L2_R1	(50, 451.0)	(55, 391.0)	(60, 335.0)	(65, 359.0)	(70, 320.0)	(75, 338.0)	(80, 357.0)	(85, 380.0)	(90, 411.0)	(95, 411.0)	(100, 525.0)	(105, 601.0)	(110, 770.0)	(115, 956.0)	(120, 1101.0)	(125, 1284.0)	(130, 1479.0)	(135, 1749.0)	(140, 2001.0)	(145, 41237.0)	(150, 7502574.0)
BFJ.2_L2_R2	(50, 1343.0)	(55, 1457.0)	(60, 1517.0)	(65, 1622.0)	(70, 1735.0)	(75, 1832.0)	(80, 2070.0)	(85, 2223.0)	(90, 2503.0)	(95, 3050.0)	(100, 3513.0)	(105, 3870.0)	(110, 4521.0)	(115, 5182.0)	(120, 6264.0)	(125, 7291.0)	(130, 8285.0)	(135, 9478.0)	(140, 10326.0)	(145, 131867.0)	(150, 7348081.0)
BFJ.2_L3_R1	(50, 2830.0)	(55, 2797.0)	(60, 3203.0)	(65, 3537.0)	(70, 3826.0)	(75, 4292.0)	(80, 5058.0)	(85, 5121.0)	(90, 5306.0)	(95, 5628.0)	(100, 6337.0)	(105, 6316.0)	(110, 6256.0)	(115, 6381.0)	(120, 6245.0)	(125, 6420.0)	(130, 6573.0)	(135, 6366.0)	(140, 6517.0)	(145, 80038.0)	(150, 10170843.0)
BFJ.2_L3_R2	(50, 2538.0)	(55, 3002.0)	(60, 3587.0)	(65, 4662.0)	(70, 5769.0)	(75, 7544.0)	(80, 9534.0)	(85, 10353.0)	(90, 11207.0)	(95, 11647.0)	(100, 12334.0)	(105, 12068.0)	(110, 12626.0)	(115, 13942.0)	(120, 13479.0)	(125, 13654.0)	(130, 14082.0)	(135, 14937.0)	(140, 14667.0)	(145, 104787.0)	(150, 10053471.0)
BFJ_WGS_L1_R1	(50, 7315.0)	(55, 6914.0)	(60, 6696.0)	(65, 6739.0)	(70, 7074.0)	(75, 7467.0)	(80, 8193.0)	(85, 9153.0)	(90, 10538.0)	(95, 12310.0)	(100, 15139.0)	(105, 18753.0)	(110, 23670.0)	(115, 29431.0)	(120, 36901.0)	(125, 44203.0)	(130, 51780.0)	(135, 61198.0)	(140, 71537.0)	(145, 965388.0)	(150, 117474921.0)
BFJ_WGS_L1_R2	(50, 12006.0)	(55, 13183.0)	(60, 14872.0)	(65, 17034.0)	(70, 19134.0)	(75, 22015.0)	(80, 26039.0)	(85, 31216.0)	(90, 38928.0)	(95, 49678.0)	(100, 62939.0)	(105, 80008.0)	(110, 103977.0)	(115, 132258.0)	(120, 162053.0)	(125, 193078.0)	(130, 221020.0)	(135, 248948.0)	(140, 278102.0)	(145, 1798894.0)	(150, 115349938.0)
