Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
BFJ.2_L1_R1	(1.0, 40.378813565395824)	(2.0, 7.148530546423388)	(3.0, 2.714277659132988)	(4.0, 1.780723978719165)	(5.0, 1.505874990740103)	(6.0, 1.2722070522049904)	(7.0, 1.1681048633509838)	(8.0, 1.1311631969015845)	(9.0, 1.0594890640935142)	('>10', 18.25568614755002)	('>50', 7.153209215155017)	('>100', 7.347217741563247)	('>500', 2.307997260157364)	('>1k', 3.1451522579982)	('>5k', 1.4691038994665606)	('>10k+', 2.1624485611469835)
BFJ.2_L1_R2	(1.0, 40.116056729973536)	(2.0, 7.376330286702465)	(3.0, 2.8148759986970027)	(4.0, 1.8112752354191897)	(5.0, 1.4864258518920768)	(6.0, 1.3599225231809853)	(7.0, 1.1839890578678367)	(8.0, 1.1306542231699919)	(9.0, 1.0315922829822668)	('>10', 18.035567833926486)	('>50', 7.312306101685068)	('>100', 7.292279989866726)	('>500', 2.3095816349164315)	('>1k', 3.172887471659032)	('>5k', 1.4085462548030134)	('>10k+', 2.1577085232582274)
BFJ.2_L2_R1	(1.0, 52.74330956897737)	(2.0, 7.816735985787269)	(3.0, 4.452443481660527)	(4.0, 3.2322156361697783)	(5.0, 2.49046382371223)	(6.0, 2.003663080358107)	(7.0, 1.7277406674274207)	(8.0, 1.4997426791943145)	(9.0, 1.3665870677698317)	('>10', 11.638729986481946)	('>50', 2.4469078492973044)	('>100', 3.8932910860693504)	('>500', 1.2802964351862365)	('>1k', 2.7144567233047705)	('>5k', 0.5564475026343042)	('>10k+', 0.13696842596923198)
BFJ.2_L2_R2	(1.0, 53.858531871379235)	(2.0, 7.709778692964525)	(3.0, 4.250194661694127)	(4.0, 3.1093228375081075)	(5.0, 2.589700703198671)	(6.0, 2.0350397527546287)	(7.0, 1.7232357305007753)	(8.0, 1.4999414543330076)	(9.0, 1.2387794080412222)	('>10', 11.301263115860722)	('>50', 2.391395396191478)	('>100', 3.8418222895887264)	('>500', 1.2807177779663554)	('>1k', 2.490258704049222)	('>5k', 0.680017603969278)	('>10k+', 0.0)
BFJ.2_L3_R1	(1.0, 49.85902588466244)	(2.0, 7.492277055108415)	(3.0, 4.134752592236275)	(4.0, 3.219960205412515)	(5.0, 2.53066893102376)	(6.0, 2.1307880230363585)	(7.0, 1.7674180224781617)	(8.0, 1.5646481409465876)	(9.0, 1.3069721017240536)	('>10', 13.910008346160357)	('>50', 2.463790977455772)	('>100', 4.5400926453345845)	('>500', 1.0935565028746244)	('>1k', 3.044450418432107)	('>5k', 0.588748929874598)	('>10k+', 0.35284122323921774)
BFJ.2_L3_R2	(1.0, 49.497518323796776)	(2.0, 7.685273736760924)	(3.0, 4.212703310912492)	(4.0, 3.175540166295531)	(5.0, 2.577027056049095)	(6.0, 2.1033120966270182)	(7.0, 1.7937022432596417)	(8.0, 1.5442767540851807)	(9.0, 1.3381765084669939)	('>10', 14.080931953531959)	('>50', 2.3644552312805387)	('>100', 4.565935049334445)	('>500', 1.2247699581118043)	('>1k', 2.952350793988399)	('>5k', 0.5350051406898114)	('>10k+', 0.34902167680946816)
BFJ_WGS_L1_R1	(1.0, 34.216815088560274)	(2.0, 10.6397561971358)	(3.0, 3.6040703610348475)	(4.0, 1.93867039416121)	(5.0, 1.2959648361655152)	(6.0, 0.9909318152489386)	(7.0, 0.751926067657439)	(8.0, 0.6374305704172323)	(9.0, 0.5317490852058384)	('>10', 11.141822118714572)	('>50', 28.871378421012782)	('>100', 5.357983748052296)	('>500', 0.019010258424564917)	('>1k', 0.0024910382087314814)	('>5k', 0.0)	('>10k+', 0.0)
BFJ_WGS_L1_R2	(1.0, 34.76725560070074)	(2.0, 10.616683325518842)	(3.0, 3.6651814280464308)	(4.0, 1.84671335310627)	(5.0, 1.2702200230740224)	(6.0, 0.9651865395905448)	(7.0, 0.7479435480536658)	(8.0, 0.6126652286154106)	(9.0, 0.4891533876669103)	('>10', 10.397744827630758)	('>50', 29.137432177052467)	('>100', 5.465924271746707)	('>500', 0.01624344451712886)	('>1k', 0.001652844680082834)	('>5k', 0.0)	('>10k+', 0.0)
