Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
BFJ.2_L1_R1	BFJ.2_L1_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	49827295.0	7.4 Gbp	0.0	50-150	41.0	47.3174494939916	150.00356128102078	150	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
BFJ.2_L1_R2	BFJ.2_L1_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	49827295.0	7.4 Gbp	0.0	50-150	41.0	47.20836825537509	149.55825798891954	150	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
BFJ.2_L2_R1	BFJ.2_L2_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7558030.0	1.1 Gbp	0.0	50-150	41.0	61.12409052000102	150.41104480929553	150	pass	pass	pass	fail	pass	pass	warn	warn	warn	pass
BFJ.2_L2_R2	BFJ.2_L2_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7558030.0	1.1 Gbp	0.0	50-150	41.0	62.08157638166008	150.06756105757717	150	pass	pass	pass	fail	pass	pass	warn	warn	warn	pass
BFJ.2_L3_R1	BFJ.2_L3_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10349890.0	1.5 Gbp	0.0	50-150	41.0	58.13350075891316	150.02398822596183	150	pass	pass	pass	fail	pass	pass	warn	warn	warn	pass
BFJ.2_L3_R2	BFJ.2_L3_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10349890.0	1.5 Gbp	0.0	50-150	41.0	57.894368666220785	149.67207801242333	150	pass	pass	pass	fail	pass	pass	warn	warn	warn	pass
BFJ_WGS_L1_R1	BFJ_WGS_L1_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	118875320.0	17.8 Gbp	0.0	50-150	42.0	42.797568133190126	150.35402671050645	150	pass	pass	pass	pass	pass	pass	warn	fail	pass	pass
BFJ_WGS_L1_R2	BFJ_WGS_L1_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	118875320.0	17.7 Gbp	0.0	50-150	42.0	43.28865082551912	150.01876523234597	150	pass	pass	pass	pass	pass	pass	warn	fail	pass	pass
