Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
BFJ.2_L1_R1	(0.0, 0.0014330517122823395)	(1.0, 0.0007926880450456857)	(2.0, 0.00013629023277650221)	(3.0, 0.00011424328335677391)	(4.0, 0.00012727102619570428)	(5.0, 0.00015833718219623053)	(6.0, 0.00022648229858448165)	(7.0, 0.00031867863252152726)	(8.0, 0.00044695179278176467)	(9.0, 0.0009329868140803203)	(10.0, 0.005641012649256845)	(11.0, 0.010706800345471688)	(12.0, 0.020724132454544603)	(13.0, 0.024523222693189604)	(14.0, 0.023475992595752507)	(15.0, 0.037471796941021845)	(16.0, 0.05403907729588312)	(17.0, 0.07613112274851541)	(18.0, 0.1191076421060176)	(19.0, 0.1976378738050253)	(20.0, 0.3307423223903767)	(21.0, 0.48712033249044506)	(22.0, 0.5928865637953334)	(23.0, 0.6752669945702773)	(24.0, 0.8098215311470082)	(25.0, 0.8849254664793771)	(26.0, 0.9978599627478709)	(27.0, 1.1590361907489237)	(28.0, 1.3099996704983197)	(29.0, 1.6217134712713417)	(30.0, 1.805524901388004)	(31.0, 1.9192150067411553)	(32.0, 2.072237871993167)	(33.0, 2.4158636299171814)	(34.0, 2.7758802926006987)	(35.0, 2.982463215065747)	(36.0, 3.3196302189438454)	(37.0, 3.633393383878838)	(38.0, 3.88781918871876)	(39.0, 4.16537925843843)	(40.0, 4.416140259004355)	(41.0, 4.518193583600148)	(42.0, 4.59539398339552)	(43.0, 4.632544095301827)	(44.0, 4.536972573835434)	(45.0, 4.356484220276764)	(46.0, 4.111329157667837)	(47.0, 3.8040758556160514)	(48.0, 3.498597332992554)	(49.0, 3.215465397874081)	(50.0, 2.8686147725303988)	(51.0, 2.539942859117348)	(52.0, 2.28866175097193)	(53.0, 2.059853499223667)	(54.0, 1.8300401070086771)	(55.0, 1.5408532778722945)	(56.0, 1.2926747767906712)	(57.0, 1.123480474139289)	(58.0, 0.9284591723767598)	(59.0, 0.7203239442457502)	(60.0, 0.5435224419104973)	(61.0, 0.41045407015146895)	(62.0, 0.3220137346882934)	(63.0, 0.2463486042797859)	(64.0, 0.17661610753331433)	(65.0, 0.1342007832519507)	(66.0, 0.13359649641103724)	(67.0, 0.12485688523424404)	(68.0, 0.09383983380287991)	(69.0, 0.0810014943021463)	(70.0, 0.06897388125961998)	(71.0, 0.05724991483864719)	(72.0, 0.05106073485609074)	(73.0, 0.043647949180739366)	(74.0, 0.034069551791931954)	(75.0, 0.03587940591247874)	(76.0, 0.0458646697314866)	(77.0, 0.036287274476743715)	(78.0, 0.018068477183531873)	(79.0, 0.011838209704329564)	(80.0, 0.008592297469306839)	(81.0, 0.007499971338965755)	(82.0, 0.005347387368348646)	(83.0, 0.002953289088179059)	(84.0, 0.0021345455574555126)	(85.0, 0.0017998327799014558)	(86.0, 0.0011574648445357358)	(87.0, 0.0006664191529145145)	(88.0, 0.00043392404994283424)	(89.0, 0.0002515356501978092)	(90.0, 0.00016334785251889605)	(91.0, 0.00011123688116317459)	(92.0, 7.014938451731733e-05)	(93.0, 4.9104569162122126e-05)	(94.0, 4.208963071039039e-05)	(95.0, 4.108749664585729e-05)	(96.0, 3.4072558194125553e-05)	(97.0, 1.803841316159588e-05)	(98.0, 1.7036279097062777e-05)	(99.0, 6.814511638825111e-05)	(100.0, 0.0001322816965183698)
BFJ.2_L1_R2	(0.0, 0.001406043839385369)	(1.0, 0.0008392198984365663)	(2.0, 0.0002253275383630399)	(3.0, 0.0001962853223073592)	(4.0, 0.0002253275383630399)	(5.0, 0.0002974323506392127)	(6.0, 0.000513746787467731)	(7.0, 0.0009053159763563914)	(8.0, 0.0016574092266259158)	(9.0, 0.0035521634603275665)	(10.0, 0.009101229638414697)	(11.0, 0.014582196827129884)	(12.0, 0.022966384165687085)	(13.0, 0.02461478029077848)	(14.0, 0.02302647150925056)	(15.0, 0.03872028419230478)	(16.0, 0.056015424581325655)	(17.0, 0.07604954638111505)	(18.0, 0.12011960706202142)	(19.0, 0.20065066781724583)	(20.0, 0.3346184046591967)	(21.0, 0.4952378827387279)	(22.0, 0.6040941172497755)	(23.0, 0.6844389072399532)	(24.0, 0.8140933742697722)	(25.0, 0.8942999633697539)	(26.0, 1.0128853402594544)	(27.0, 1.171903490633019)	(28.0, 1.3217142570612068)	(29.0, 1.6373791106490305)	(30.0, 1.8264689735646635)	(31.0, 1.9279595012105546)	(32.0, 2.071644362962446)	(33.0, 2.4196872816294497)	(34.0, 2.77382806421242)	(35.0, 2.9688926119897143)	(36.0, 3.3062029296405546)	(37.0, 3.6197557131021227)	(38.0, 3.874698300196148)	(39.0, 4.15510990931528)	(40.0, 4.410783559089328)	(41.0, 4.516854745226208)	(42.0, 4.582222764833189)	(43.0, 4.613523263551131)	(44.0, 4.5234493311823)	(45.0, 4.351411254914256)	(46.0, 4.109192162819796)	(47.0, 3.799544055234129)	(48.0, 3.499028222414384)	(49.0, 3.2173798154735707)	(50.0, 2.874367208918556)	(51.0, 2.5506887066108166)	(52.0, 2.302173462366631)	(53.0, 2.078709633109785)	(54.0, 1.8491118875308337)	(55.0, 1.553335944662521)	(56.0, 1.2937896655958065)	(57.0, 1.1102258353765617)	(58.0, 0.9095371122417256)	(59.0, 0.7046853376536668)	(60.0, 0.5289248504518653)	(61.0, 0.3981757923134648)	(62.0, 0.3135898373234317)	(63.0, 0.240016890952858)	(64.0, 0.1711798287108123)	(65.0, 0.1315562314536033)	(66.0, 0.1327159171843784)	(67.0, 0.12415647509376104)	(68.0, 0.09411981350210478)	(69.0, 0.08226057479412649)	(70.0, 0.07037329532581856)	(71.0, 0.05791218172647943)	(72.0, 0.051304576845949044)	(73.0, 0.04358735902094644)	(74.0, 0.033691974991767785)	(75.0, 0.03583909606843604)	(76.0, 0.045357932744616906)	(77.0, 0.03490373642029791)	(78.0, 0.016897562465775878)	(79.0, 0.011226318689109676)	(80.0, 0.00791951188166631)	(81.0, 0.005436903136768638)	(82.0, 0.003170608828699486)	(83.0, 0.0019067717024143466)	(84.0, 0.0011626900979532858)	(85.0, 0.0007611063518040459)	(86.0, 0.0004917147614944559)	(87.0, 0.00030744690789979225)	(88.0, 0.0001802620306904319)	(89.0, 0.00010314993978396939)	(90.0, 5.307715348107162e-05)	(91.0, 2.403493742539092e-05)	(92.0, 2.0029114521159104e-05)	(93.0, 1.0014557260579552e-05)	(94.0, 9.013101534521596e-06)	(95.0, 9.013101534521596e-06)	(96.0, 7.010190082405686e-06)	(97.0, 7.010190082405686e-06)	(98.0, 6.00873435634773e-06)	(99.0, 6.00873435634773e-06)	(100.0, 2.7039304603564787e-05)
BFJ.2_L2_R1	(0.0, 0.0010318041730922934)	(1.0, 0.0005688151210637002)	(2.0, 9.921193972041281e-05)	(3.0, 9.921193972041281e-05)	(4.0, 9.921193972041281e-05)	(5.0, 0.00013889671560857794)	(6.0, 0.0002182662673849082)	(7.0, 0.00017858149149674307)	(8.0, 0.00019842387944082562)	(9.0, 0.0007143259659869723)	(10.0, 0.005119336089573301)	(11.0, 0.010073318946279249)	(12.0, 0.021132143160447932)	(13.0, 0.024769914283529735)	(14.0, 0.022342528825036966)	(15.0, 0.03748227082637196)	(16.0, 0.05508908306208789)	(17.0, 0.0768164978608583)	(18.0, 0.12171320764900245)	(19.0, 0.2018367701672078)	(20.0, 0.3401580565254074)	(21.0, 0.5053194796426359)	(22.0, 0.6110595649966519)	(23.0, 0.6897809321001421)	(24.0, 0.8259658546896954)	(25.0, 0.897973880538771)	(26.0, 1.0076163021884565)	(27.0, 1.1731679589352522)	(28.0, 1.3337193339201387)	(29.0, 1.667223576354964)	(30.0, 1.845170111437496)	(31.0, 1.9479139962119558)	(32.0, 2.1038553230645007)	(33.0, 2.4578633663748777)	(34.0, 2.8170039740334576)	(35.0, 3.0001558288866543)	(36.0, 3.334268571218431)	(37.0, 3.6581029565951733)	(38.0, 3.914757630522567)	(39.0, 4.199105663890585)	(40.0, 4.45807528307812)	(41.0, 4.558021391152464)	(42.0, 4.6304725636656245)	(43.0, 4.663020694023235)	(44.0, 4.575158600206837)	(45.0, 4.3890568436792865)	(46.0, 4.131205012345934)	(47.0, 3.8127148434554647)	(48.0, 3.4948728592378355)	(49.0, 3.2082495653855627)	(50.0, 2.8490957294683534)	(51.0, 2.5044731356555276)	(52.0, 2.248288064909478)	(53.0, 2.0183412451548195)	(54.0, 1.7807749484296336)	(55.0, 1.477239325919688)	(56.0, 1.2244539176413909)	(57.0, 1.0569312503588164)	(58.0, 0.863415054869494)	(59.0, 0.6586812960624501)	(60.0, 0.48777880870006696)	(61.0, 0.3674413399485209)	(62.0, 0.2927612058563088)	(63.0, 0.22548228246723956)	(64.0, 0.1610275922955447)	(65.0, 0.12393555509873969)	(66.0, 0.12878371188641052)	(67.0, 0.12250028903745104)	(68.0, 0.09054743031816342)	(69.0, 0.07785491616326529)	(70.0, 0.06704081473374028)	(71.0, 0.05532719171741688)	(72.0, 0.04837574180767329)	(73.0, 0.040789335483719054)	(74.0, 0.03184041852093782)	(75.0, 0.03502181472130572)	(76.0, 0.04707275833267854)	(77.0, 0.036920069834622954)	(78.0, 0.01626414398483301)	(79.0, 0.009881509196153116)	(80.0, 0.00699774881494645)	(81.0, 0.0055294121070843414)	(82.0, 0.0035121026661026136)	(83.0, 0.001759358397708654)	(84.0, 0.00105826069035107)	(85.0, 0.0008598368109102444)	(86.0, 0.000562200991749006)	(87.0, 0.00034393472436409773)	(88.0, 0.00017858149149674307)	(89.0, 5.29130345175535e-05)	(90.0, 1.3228258629388375e-05)	(91.0, 1.9842387944082563e-05)	(92.0, 6.614129314694188e-06)	(93.0, 0.0)	(94.0, 6.614129314694188e-06)	(95.0, 6.614129314694188e-06)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
BFJ.2_L2_R2	(0.0, 0.0013880789007842842)	(1.0, 0.0007667483451951286)	(2.0, 0.00012558809102334003)	(3.0, 9.253859338561896e-05)	(4.0, 8.592869385807475e-05)	(5.0, 0.00011897819149579581)	(6.0, 0.0002247365839365032)	(7.0, 0.00031066527779457793)	(8.0, 0.0004164236702352853)	(9.0, 0.0008923364362184687)	(10.0, 0.0055258760050269605)	(11.0, 0.010820405526589874)	(12.0, 0.020847623109874442)	(13.0, 0.023868347193962147)	(14.0, 0.022896691963413148)	(15.0, 0.03995023274447721)	(16.0, 0.057334268501918494)	(17.0, 0.07888254096171261)	(18.0, 0.12426611111783117)	(19.0, 0.2056273644023729)	(20.0, 0.34660330152583585)	(21.0, 0.5151557394782132)	(22.0, 0.6239414659025359)	(23.0, 0.7034056780226724)	(24.0, 0.8377386661209534)	(25.0, 0.917460664322664)	(26.0, 1.0332859337438212)	(27.0, 1.1969404361462885)	(28.0, 1.3525308611251516)	(29.0, 1.678835161201899)	(30.0, 1.864831124007466)	(31.0, 1.9639531773225187)	(32.0, 2.105114191632753)	(33.0, 2.4549960033242506)	(34.0, 2.8018174315344955)	(35.0, 2.986220408553924)	(36.0, 3.3214348531938014)	(37.0, 3.6423388653565447)	(38.0, 3.912974591612315)	(39.0, 4.183074916006354)	(40.0, 4.437741125003577)	(41.0, 4.552065947231982)	(42.0, 4.6231025374545)	(43.0, 4.661578762604335)	(44.0, 4.569773868066273)	(45.0, 4.380360587204966)	(46.0, 4.1248681407668)	(47.0, 3.8146126767429296)	(48.0, 3.5125600980327416)	(49.0, 3.2135612929042794)	(50.0, 2.8540885169983152)	(51.0, 2.521220586690716)	(52.0, 2.255383647491943)	(53.0, 2.02617877147482)	(54.0, 1.7935896268995943)	(55.0, 1.4908562285380693)	(56.0, 1.2246954042624465)	(57.0, 1.0326249437910668)	(58.0, 0.8336603581124585)	(59.0, 0.6367051818902237)	(60.0, 0.4708495829450844)	(61.0, 0.3529289753736956)	(62.0, 0.28031922906362244)	(63.0, 0.2143788713768414)	(64.0, 0.15379253230737117)	(65.0, 0.11989035763059691)	(66.0, 0.12561453062145017)	(67.0, 0.12042575949232799)	(68.0, 0.08934601191381511)	(69.0, 0.0779373253292738)	(70.0, 0.06702438120929831)	(71.0, 0.05506707296397083)	(72.0, 0.04916443268587385)	(73.0, 0.040987986970301656)	(74.0, 0.031271434664811665)	(75.0, 0.033783196485278465)	(76.0, 0.04439208522698693)	(77.0, 0.034787901213465186)	(78.0, 0.015566313387366616)	(79.0, 0.0097628216021828)	(80.0, 0.006761927216677728)	(81.0, 0.004455072281564798)	(82.0, 0.00238617372944346)	(83.0, 0.0012360512116507676)	(84.0, 0.000720479048502319)	(85.0, 0.00035693457448738745)	(86.0, 0.00019829698582632635)	(87.0, 0.00013219799055088423)	(88.0, 7.270889480298633e-05)	(89.0, 3.304949763772106e-05)	(90.0, 1.3219799055088423e-05)	(91.0, 6.6098995275442116e-06)	(92.0, 6.6098995275442116e-06)	(93.0, 6.6098995275442116e-06)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
BFJ.2_L3_R1	(0.0, 0.0013605459243592431)	(1.0, 0.0007478177953038393)	(2.0, 0.00012544040437354725)	(3.0, 0.00012061577343610312)	(4.0, 0.00014956355906076786)	(5.0, 0.00016886208281054438)	(6.0, 0.0002122837612475415)	(7.0, 0.00031842564187131223)	(8.0, 0.0004728138318695242)	(9.0, 0.0010614188062377074)	(10.0, 0.00584745269618228)	(11.0, 0.010869893502061613)	(12.0, 0.021180129815379707)	(13.0, 0.024957815839398458)	(14.0, 0.02398806502097219)	(15.0, 0.03877073421330098)	(16.0, 0.055044214365300013)	(17.0, 0.07729058761785489)	(18.0, 0.12054340397204144)	(19.0, 0.19946471684675246)	(20.0, 0.3339706027517572)	(21.0, 0.4918711240724285)	(22.0, 0.5992336363233726)	(23.0, 0.6819471091149147)	(24.0, 0.8154398225230561)	(25.0, 0.8903084454103141)	(26.0, 1.0050478183646103)	(27.0, 1.1620461336999794)	(28.0, 1.308097361438288)	(29.0, 1.6259199244424198)	(30.0, 1.813105955553377)	(31.0, 1.9255295056576998)	(32.0, 2.0708522141244545)	(33.0, 2.412238274627063)	(34.0, 2.7727250490110134)	(35.0, 2.971562563835898)	(36.0, 3.3045537665073543)	(37.0, 3.611308626140989)	(38.0, 3.86123415796247)	(39.0, 4.1427176007457716)	(40.0, 4.391615486177577)	(41.0, 4.4978152623725975)	(42.0, 4.587804278617805)	(43.0, 4.620669664563675)	(44.0, 4.521287091883263)	(45.0, 4.347803012634647)	(46.0, 4.107787272758677)	(47.0, 3.7957832146651027)	(48.0, 3.4923187533308044)	(49.0, 3.2178503239305454)	(50.0, 2.8809415209378852)	(51.0, 2.5525819639663756)	(52.0, 2.299042783572749)	(53.0, 2.0757057928475233)	(54.0, 1.8496670087973284)	(55.0, 1.559590898314438)	(56.0, 1.3066113751095554)	(57.0, 1.1348014427962325)	(58.0, 0.9333779257888778)	(59.0, 0.7262854674300262)	(60.0, 0.5511368905079922)	(61.0, 0.41475904779925904)	(62.0, 0.3245432738999914)	(63.0, 0.24764830601900692)	(64.0, 0.17682754848826462)	(65.0, 0.1344576395956303)	(66.0, 0.13444799033375543)	(67.0, 0.125546546254171)	(68.0, 0.09437460576734452)	(69.0, 0.08234680084029632)	(70.0, 0.06980276040294159)	(71.0, 0.05698854063309)	(72.0, 0.05100117363972185)	(73.0, 0.04303570796200159)	(74.0, 0.03332855051586401)	(75.0, 0.03607859015020717)	(76.0, 0.04653356539164858)	(77.0, 0.03657070250582647)	(78.0, 0.017576130505108947)	(79.0, 0.011463323107367241)	(80.0, 0.008230820379279677)	(81.0, 0.007333439024915071)	(82.0, 0.005302269400251093)	(83.0, 0.0027934613127801483)	(84.0, 0.001823710494353879)	(85.0, 0.0013991429718587963)	(86.0, 0.0010179971278007102)	(87.0, 0.0005596571887435184)	(88.0, 0.00028465322530920337)	(89.0, 0.00013508966624843548)	(90.0, 7.236946406166187e-05)	(91.0, 4.342167843699712e-05)	(92.0, 4.824630937444125e-06)	(93.0, 0.0)	(94.0, 4.824630937444125e-06)	(95.0, 1.92985237497765e-05)	(96.0, 3.377241656210887e-05)	(97.0, 2.4123154687220623e-05)	(98.0, 2.894778562466475e-05)	(99.0, 0.00022675765405987385)	(100.0, 0.0004486906771823036)
BFJ.2_L3_R2	(0.0, 0.0013985011058044693)	(1.0, 0.0008005213226329031)	(2.0, 0.00015431736339911384)	(3.0, 0.00012538285776178)	(4.0, 0.0001977191218551146)	(5.0, 0.00026041055073600463)	(6.0, 0.00050153143104712)	(7.0, 0.0008342782458764593)	(8.0, 0.0013406320945298015)	(9.0, 0.002850048805277384)	(10.0, 0.008280091029883703)	(11.0, 0.013695666001671354)	(12.0, 0.021966112196342612)	(13.0, 0.02432909682339154)	(14.0, 0.023369435719753303)	(15.0, 0.039741543492878034)	(16.0, 0.0571794055569779)	(17.0, 0.07719243862280048)	(18.0, 0.1206279540020448)	(19.0, 0.20011586340540707)	(20.0, 0.33549559286488595)	(21.0, 0.5013047774196275)	(22.0, 0.6095053612504375)	(23.0, 0.6841853203003961)	(24.0, 0.8167294682074163)	(25.0, 0.8970468334390488)	(26.0, 1.0150755043513398)	(27.0, 1.175975467782947)	(28.0, 1.3239899313707284)	(29.0, 1.6440682551485217)	(30.0, 1.830502919805076)	(31.0, 1.9282388574303835)	(32.0, 2.0660056836049425)	(33.0, 2.413576610155809)	(34.0, 2.7655070022227006)	(35.0, 2.955081060740906)	(36.0, 3.2935954870272863)	(37.0, 3.6054226542808334)	(38.0, 3.860504433561963)	(39.0, 4.134547958870757)	(40.0, 4.389104094632809)	(41.0, 4.495583075378197)	(42.0, 4.565271832205715)	(43.0, 4.603547360746302)	(44.0, 4.511448829302668)	(45.0, 4.34393733133293)	(46.0, 4.104311400479744)	(47.0, 3.792927895645969)	(48.0, 3.499290887603093)	(49.0, 3.224929082732287)	(50.0, 2.880444503449403)	(51.0, 2.5568699269070985)	(52.0, 2.3128797081202808)	(53.0, 2.094781049461271)	(54.0, 1.8648047762381355)	(55.0, 1.5686359989519922)	(56.0, 1.3141473770364285)	(57.0, 1.1282142438109213)	(58.0, 0.9210624731180358)	(59.0, 0.7127822567052944)	(60.0, 0.5353365784667383)	(61.0, 0.4031975136386409)	(62.0, 0.3168280143111994)	(63.0, 0.2409762077829287)	(64.0, 0.17286920393025107)	(65.0, 0.13285278263381836)	(66.0, 0.1357414107799455)	(67.0, 0.12657881732812312)	(68.0, 0.09447116090589501)	(69.0, 0.08226079952694013)	(70.0, 0.0698044948500679)	(71.0, 0.058254804683165476)	(72.0, 0.05205799805916981)	(73.0, 0.043517496478550105)	(74.0, 0.033409709175908145)	(75.0, 0.035955945671993526)	(76.0, 0.04575027583023103)	(77.0, 0.035116845008510846)	(78.0, 0.01653124755413007)	(79.0, 0.010903486207668638)	(80.0, 0.007831606192505027)	(81.0, 0.005256435190782316)	(82.0, 0.003067057597557388)	(83.0, 0.002054349900250703)	(84.0, 0.0012779406656489114)	(85.0, 0.0006992505529022346)	(86.0, 0.00041472791413511845)	(87.0, 0.00027005538594844925)	(88.0, 0.00016396219861155846)	(89.0, 0.00010127076973066846)	(90.0, 6.751384648711231e-05)	(91.0, 2.8934505637333843e-05)	(92.0, 9.644835212444615e-06)	(93.0, 4.8224176062223075e-06)	(94.0, 1.4467252818666922e-05)	(95.0, 1.4467252818666922e-05)	(96.0, 4.8224176062223075e-06)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 4.8224176062223075e-06)	(100.0, 4.8224176062223075e-06)
BFJ_WGS_L1_R1	(0.0, 0.0024574080390311077)	(1.0, 0.0013493878160935702)	(2.0, 0.00020099949395223642)	(3.0, 0.00015726738648145694)	(4.0, 0.00016105189578181285)	(5.0, 0.00020057899291886353)	(6.0, 0.0003330368184313206)	(7.0, 0.00048525819251230294)	(8.0, 0.0006429460800271327)	(9.0, 0.000739661317702895)	(10.0, 0.0017152237151279756)	(11.0, 0.0032736005448078666)	(12.0, 0.0062187897825515155)	(13.0, 0.010952790416263392)	(14.0, 0.018446539332001476)	(15.0, 0.031442544269423695)	(16.0, 0.047154985882434705)	(17.0, 0.0687098688531285)	(18.0, 0.10215525954450722)	(19.0, 0.14948979936819215)	(20.0, 0.2192896068998232)	(21.0, 0.30675298083931535)	(22.0, 0.39492447851900747)	(23.0, 0.4814471916468445)	(24.0, 0.5862057730889633)	(25.0, 0.6960091054284564)	(26.0, 0.8157413081679501)	(27.0, 0.9474998404619079)	(28.0, 1.0681634529903223)	(29.0, 1.2220441241489943)	(30.0, 1.4104618066816808)	(31.0, 1.6108570406489602)	(32.0, 1.8538746798599484)	(33.0, 2.160054097289743)	(34.0, 2.48621614432645)	(35.0, 2.806036194777828)	(36.0, 3.1103073785181765)	(37.0, 3.3853171568492066)	(38.0, 3.6473502732903493)	(39.0, 3.9050799821559545)	(40.0, 4.119350488721439)	(41.0, 4.2557294863700985)	(42.0, 4.332676549965968)	(43.0, 4.338914262295021)	(44.0, 4.282346781281568)	(45.0, 4.172302922350986)	(46.0, 4.005166376616267)	(47.0, 3.798780264426524)	(48.0, 3.5831469140118783)	(49.0, 3.377783460335298)	(50.0, 3.194355443064614)	(51.0, 3.0282571143812933)	(52.0, 2.8658293392182848)	(53.0, 2.7186909816287135)	(54.0, 2.5637464428556087)	(55.0, 2.320622416883177)	(56.0, 2.031758811506644)	(57.0, 1.7409894954468652)	(58.0, 1.4333273913733977)	(59.0, 1.150590906554141)	(60.0, 0.9007901651738152)	(61.0, 0.6727242812064665)	(62.0, 0.4786369832408136)	(63.0, 0.3308312905112798)	(64.0, 0.2156098023567771)	(65.0, 0.13409273353021078)	(66.0, 0.0878927054945659)	(67.0, 0.06169212710716852)	(68.0, 0.0433872966234137)	(69.0, 0.034256537184755)	(70.0, 0.02860458279519013)	(71.0, 0.023872264165611744)	(72.0, 0.019249696305743677)	(73.0, 0.015692257563409116)	(74.0, 0.011829114569812473)	(75.0, 0.010992738014433815)	(76.0, 0.01244052307233664)	(77.0, 0.011935921832289184)	(78.0, 0.009854862218126804)	(79.0, 0.00632769955019509)	(80.0, 0.004524591119092184)	(81.0, 0.003903931593833813)	(82.0, 0.0022736490874471593)	(83.0, 0.0011879154192783845)	(84.0, 0.0011361937921735203)	(85.0, 0.0009654703726241313)	(86.0, 0.0004125115137387948)	(87.0, 0.00019343047535152455)	(88.0, 0.00014675486064713494)	(89.0, 0.00010722776351008427)	(90.0, 8.073619840759287e-05)	(91.0, 4.5834612637643864e-05)	(92.0, 1.724054236828806e-05)	(93.0, 4.205010333728795e-06)	(94.0, 1.2615031001186385e-06)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
BFJ_WGS_L1_R2	(0.0, 0.004370087051747337)	(1.0, 0.002348564482311694)	(2.0, 0.00025810248651143375)	(3.0, 0.00019042414721446172)	(4.0, 0.0001908445095703435)	(5.0, 0.0002299382086673522)	(6.0, 0.00033628988470545113)	(7.0, 0.0004354954006935592)	(8.0, 0.0005725335287110305)	(9.0, 0.0007423599204872835)	(10.0, 0.0017810753018712455)	(11.0, 0.003318340437331039)	(12.0, 0.006204968735171456)	(13.0, 0.010923115817588935)	(14.0, 0.01849047894817335)	(15.0, 0.03213165775889409)	(16.0, 0.04895834250248722)	(17.0, 0.0715486155075759)	(18.0, 0.10580730678723196)	(19.0, 0.1542616348250169)	(20.0, 0.22534280739285223)	(21.0, 0.31536845025321325)	(22.0, 0.40414940017780826)	(23.0, 0.49084661390429707)	(24.0, 0.598265169601624)	(25.0, 0.7074538711795693)	(26.0, 0.8256093221708295)	(27.0, 0.9595292022323697)	(28.0, 1.083466737428784)	(29.0, 1.2376178169542043)	(30.0, 1.4241990115111944)	(31.0, 1.623586545240124)	(32.0, 1.8668746216055707)	(33.0, 2.170541865320458)	(34.0, 2.492991739820856)	(35.0, 2.8084867191431897)	(36.0, 3.1077330119612676)	(37.0, 3.3821102474430225)	(38.0, 3.642658402140976)	(39.0, 3.8992517877947943)	(40.0, 4.111986667047683)	(41.0, 4.244362556176069)	(42.0, 4.318158428838189)	(43.0, 4.324125892842288)	(44.0, 4.269216480467581)	(45.0, 4.162522629471795)	(46.0, 4.001559998331666)	(47.0, 3.801508292080443)	(48.0, 3.592880353044519)	(49.0, 3.3920665298420825)	(50.0, 3.2130228526884097)	(51.0, 3.0574908828239176)	(52.0, 2.902029533835214)	(53.0, 2.7553369435902053)	(54.0, 2.597768318111466)	(55.0, 2.3402862864373137)	(56.0, 2.0302059946210935)	(57.0, 1.71704444673626)	(58.0, 1.3939947151540184)	(59.0, 1.104982564252239)	(60.0, 0.8519425015926899)	(61.0, 0.6294589989445457)	(62.0, 0.4455643402039963)	(63.0, 0.3065887620882657)	(64.0, 0.1995918298338882)	(65.0, 0.12601286414740312)	(66.0, 0.0855214602170874)	(67.0, 0.061564168830671055)	(68.0, 0.0438320235725085)	(69.0, 0.034731178567667234)	(70.0, 0.02913279271203323)	(71.0, 0.024005633057342747)	(72.0, 0.018837698254131726)	(73.0, 0.015162890539012909)	(74.0, 0.0116242802271998)	(75.0, 0.01032914380872793)	(76.0, 0.011191727362997414)	(77.0, 0.01074404145398328)	(78.0, 0.00881541896519752)	(79.0, 0.005666904919642734)	(80.0, 0.0038685947611803335)	(81.0, 0.0026625751621554093)	(82.0, 0.0012535205452395691)	(83.0, 0.0007936441279048646)	(84.0, 0.0006019588936227575)	(85.0, 0.000429189965355332)	(86.0, 0.0001811761753850618)	(87.0, 8.028920997342645e-05)	(88.0, 3.2788263758781484e-05)	(89.0, 1.51330448117453e-05)	(90.0, 9.247971829399906e-06)	(91.0, 7.146160049990836e-06)	(92.0, 5.044348270581767e-06)	(93.0, 3.362898847054511e-06)	(94.0, 1.6814494235272555e-06)	(95.0, 8.407247117636277e-07)	(96.0, 8.407247117636277e-07)	(97.0, 4.2036235588181387e-07)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
