Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
BFJ.2_L1_R1	(0.0, 715.0)	(1.0, 395.5)	(2.0, 68.0)	(3.0, 57.0)	(4.0, 63.5)	(5.0, 79.0)	(6.0, 113.0)	(7.0, 159.0)	(8.0, 223.0)	(9.0, 465.5)	(10.0, 2814.5)	(11.0, 5342.0)	(12.0, 10340.0)	(13.0, 12235.5)	(14.0, 11713.0)	(15.0, 18696.0)	(16.0, 26962.0)	(17.0, 37984.5)	(18.0, 59427.0)	(19.0, 98608.5)	(20.0, 165019.0)	(21.0, 243041.5)	(22.0, 295812.0)	(23.0, 336914.5)	(24.0, 404048.5)	(25.0, 441520.5)	(26.0, 497867.5)	(27.0, 578284.0)	(28.0, 653605.0)	(29.0, 809130.0)	(30.0, 900840.0)	(31.0, 957564.0)	(32.0, 1033912.5)	(33.0, 1205359.5)	(34.0, 1384984.5)	(35.0, 1488056.0)	(36.0, 1656280.5)	(37.0, 1812828.0)	(38.0, 1939770.0)	(39.0, 2078254.5)	(40.0, 2203368.0)	(41.0, 2254286.0)	(42.0, 2292804.0)	(43.0, 2311339.5)	(44.0, 2263655.5)	(45.0, 2173603.5)	(46.0, 2051287.0)	(47.0, 1897987.5)	(48.0, 1745573.5)	(49.0, 1604309.0)	(50.0, 1431253.0)	(51.0, 1267267.0)	(52.0, 1141894.0)	(53.0, 1027733.5)	(54.0, 913071.5)	(55.0, 768786.0)	(56.0, 644961.0)	(57.0, 560544.0)	(58.0, 463241.0)	(59.0, 359395.0)	(60.0, 271182.5)	(61.0, 204790.0)	(62.0, 160664.0)	(63.0, 122912.0)	(64.0, 88120.0)	(65.0, 66957.5)	(66.0, 66656.0)	(67.0, 62295.5)	(68.0, 46820.0)	(69.0, 40414.5)	(70.0, 34413.5)	(71.0, 28564.0)	(72.0, 25476.0)	(73.0, 21777.5)	(74.0, 16998.5)	(75.0, 17901.5)	(76.0, 22883.5)	(77.0, 18105.0)	(78.0, 9015.0)	(79.0, 5906.5)	(80.0, 4287.0)	(81.0, 3742.0)	(82.0, 2668.0)	(83.0, 1473.5)	(84.0, 1065.0)	(85.0, 898.0)	(86.0, 577.5)	(87.0, 332.5)	(88.0, 216.5)	(89.0, 125.5)	(90.0, 81.5)	(91.0, 55.5)	(92.0, 35.0)	(93.0, 24.5)	(94.0, 21.0)	(95.0, 20.5)	(96.0, 17.0)	(97.0, 9.0)	(98.0, 8.5)	(99.0, 34.0)	(100.0, 66.0)
BFJ.2_L1_R2	(0.0, 702.0)	(1.0, 419.0)	(2.0, 112.5)	(3.0, 98.0)	(4.0, 112.5)	(5.0, 148.5)	(6.0, 256.5)	(7.0, 452.0)	(8.0, 827.5)	(9.0, 1773.5)	(10.0, 4544.0)	(11.0, 7280.5)	(12.0, 11466.5)	(13.0, 12289.5)	(14.0, 11496.5)	(15.0, 19332.0)	(16.0, 27967.0)	(17.0, 37969.5)	(18.0, 59972.5)	(19.0, 100179.5)	(20.0, 167066.0)	(21.0, 247259.0)	(22.0, 301608.0)	(23.0, 341722.0)	(24.0, 406455.0)	(25.0, 446500.0)	(26.0, 505706.5)	(27.0, 585100.0)	(28.0, 659896.5)	(29.0, 817499.5)	(30.0, 911907.0)	(31.0, 962578.5)	(32.0, 1034316.5)	(33.0, 1208085.0)	(34.0, 1384898.0)	(35.0, 1482288.5)	(36.0, 1650698.5)	(37.0, 1807247.0)	(38.0, 1934533.0)	(39.0, 2074535.0)	(40.0, 2202186.0)	(41.0, 2255144.5)	(42.0, 2287781.0)	(43.0, 2303408.5)	(44.0, 2258437.0)	(45.0, 2172543.0)	(46.0, 2051609.5)	(47.0, 1897010.5)	(48.0, 1746971.0)	(49.0, 1606351.5)	(50.0, 1435094.5)	(51.0, 1273490.5)	(52.0, 1149413.5)	(53.0, 1037844.0)	(54.0, 923212.0)	(55.0, 775539.0)	(56.0, 645954.5)	(57.0, 554306.0)	(58.0, 454107.5)	(59.0, 351830.5)	(60.0, 264078.0)	(61.0, 198798.5)	(62.0, 156567.0)	(63.0, 119834.0)	(64.0, 85465.5)	(65.0, 65682.5)	(66.0, 66261.5)	(67.0, 61988.0)	(68.0, 46991.5)	(69.0, 41070.5)	(70.0, 35135.5)	(71.0, 28914.0)	(72.0, 25615.0)	(73.0, 21762.0)	(74.0, 16821.5)	(75.0, 17893.5)	(76.0, 22646.0)	(77.0, 17426.5)	(78.0, 8436.5)	(79.0, 5605.0)	(80.0, 3954.0)	(81.0, 2714.5)	(82.0, 1583.0)	(83.0, 952.0)	(84.0, 580.5)	(85.0, 380.0)	(86.0, 245.5)	(87.0, 153.5)	(88.0, 90.0)	(89.0, 51.5)	(90.0, 26.5)	(91.0, 12.0)	(92.0, 10.0)	(93.0, 5.0)	(94.0, 4.5)	(95.0, 4.5)	(96.0, 3.5)	(97.0, 3.5)	(98.0, 3.0)	(99.0, 3.0)	(100.0, 13.5)
BFJ.2_L2_R1	(0.0, 78.0)	(1.0, 43.0)	(2.0, 7.5)	(3.0, 7.5)	(4.0, 7.5)	(5.0, 10.5)	(6.0, 16.5)	(7.0, 13.5)	(8.0, 15.0)	(9.0, 54.0)	(10.0, 387.0)	(11.0, 761.5)	(12.0, 1597.5)	(13.0, 1872.5)	(14.0, 1689.0)	(15.0, 2833.5)	(16.0, 4164.5)	(17.0, 5807.0)	(18.0, 9201.0)	(19.0, 15258.0)	(20.0, 25714.5)	(21.0, 38200.0)	(22.0, 46193.5)	(23.0, 52144.5)	(24.0, 62439.5)	(25.0, 67883.0)	(26.0, 76171.5)	(27.0, 88686.5)	(28.0, 100823.5)	(29.0, 126035.0)	(30.0, 139487.0)	(31.0, 147254.0)	(32.0, 159042.5)	(33.0, 185804.0)	(34.0, 212953.5)	(35.0, 226799.0)	(36.0, 252056.5)	(37.0, 276537.0)	(38.0, 295939.0)	(39.0, 317434.5)	(40.0, 337011.5)	(41.0, 344567.0)	(42.0, 350044.0)	(43.0, 352504.5)	(44.0, 345862.5)	(45.0, 331794.0)	(46.0, 312301.5)	(47.0, 288225.0)	(48.0, 264197.5)	(49.0, 242530.0)	(50.0, 215379.5)	(51.0, 189327.5)	(52.0, 169961.0)	(53.0, 152578.0)	(54.0, 134619.0)	(55.0, 111673.0)	(56.0, 92563.5)	(57.0, 79899.5)	(58.0, 65270.5)	(59.0, 49793.5)	(60.0, 36874.0)	(61.0, 27777.0)	(62.0, 22131.5)	(63.0, 17045.5)	(64.0, 12173.0)	(65.0, 9369.0)	(66.0, 9735.5)	(67.0, 9260.5)	(68.0, 6845.0)	(69.0, 5885.5)	(70.0, 5068.0)	(71.0, 4182.5)	(72.0, 3657.0)	(73.0, 3083.5)	(74.0, 2407.0)	(75.0, 2647.5)	(76.0, 3558.5)	(77.0, 2791.0)	(78.0, 1229.5)	(79.0, 747.0)	(80.0, 529.0)	(81.0, 418.0)	(82.0, 265.5)	(83.0, 133.0)	(84.0, 80.0)	(85.0, 65.0)	(86.0, 42.5)	(87.0, 26.0)	(88.0, 13.5)	(89.0, 4.0)	(90.0, 1.0)	(91.0, 1.5)	(92.0, 0.5)	(93.0, 0.0)	(94.0, 0.5)	(95.0, 0.5)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
BFJ.2_L2_R2	(0.0, 105.0)	(1.0, 58.0)	(2.0, 9.5)	(3.0, 7.0)	(4.0, 6.5)	(5.0, 9.0)	(6.0, 17.0)	(7.0, 23.5)	(8.0, 31.5)	(9.0, 67.5)	(10.0, 418.0)	(11.0, 818.5)	(12.0, 1577.0)	(13.0, 1805.5)	(14.0, 1732.0)	(15.0, 3022.0)	(16.0, 4337.0)	(17.0, 5967.0)	(18.0, 9400.0)	(19.0, 15554.5)	(20.0, 26218.5)	(21.0, 38968.5)	(22.0, 47197.5)	(23.0, 53208.5)	(24.0, 63370.0)	(25.0, 69400.5)	(26.0, 78162.0)	(27.0, 90541.5)	(28.0, 102311.0)	(29.0, 126994.0)	(30.0, 141063.5)	(31.0, 148561.5)	(32.0, 159239.5)	(33.0, 185706.0)	(34.0, 211941.0)	(35.0, 225890.0)	(36.0, 251247.0)	(37.0, 275521.5)	(38.0, 295993.5)	(39.0, 316425.0)	(40.0, 335689.0)	(41.0, 344337.0)	(42.0, 349710.5)	(43.0, 352621.0)	(44.0, 345676.5)	(45.0, 331348.5)	(46.0, 312022.0)	(47.0, 288553.0)	(48.0, 265704.5)	(49.0, 243087.0)	(50.0, 215895.0)	(51.0, 190715.5)	(52.0, 170606.5)	(53.0, 153268.5)	(54.0, 135674.5)	(55.0, 112774.5)	(56.0, 92641.0)	(57.0, 78112.0)	(58.0, 63061.5)	(59.0, 48163.0)	(60.0, 35617.0)	(61.0, 26697.0)	(62.0, 21204.5)	(63.0, 16216.5)	(64.0, 11633.5)	(65.0, 9069.0)	(66.0, 9502.0)	(67.0, 9109.5)	(68.0, 6758.5)	(69.0, 5895.5)	(70.0, 5070.0)	(71.0, 4165.5)	(72.0, 3719.0)	(73.0, 3100.5)	(74.0, 2365.5)	(75.0, 2555.5)	(76.0, 3358.0)	(77.0, 2631.5)	(78.0, 1177.5)	(79.0, 738.5)	(80.0, 511.5)	(81.0, 337.0)	(82.0, 180.5)	(83.0, 93.5)	(84.0, 54.5)	(85.0, 27.0)	(86.0, 15.0)	(87.0, 10.0)	(88.0, 5.5)	(89.0, 2.5)	(90.0, 1.0)	(91.0, 0.5)	(92.0, 0.5)	(93.0, 0.5)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
BFJ.2_L3_R1	(0.0, 141.0)	(1.0, 77.5)	(2.0, 13.0)	(3.0, 12.5)	(4.0, 15.5)	(5.0, 17.5)	(6.0, 22.0)	(7.0, 33.0)	(8.0, 49.0)	(9.0, 110.0)	(10.0, 606.0)	(11.0, 1126.5)	(12.0, 2195.0)	(13.0, 2586.5)	(14.0, 2486.0)	(15.0, 4018.0)	(16.0, 5704.5)	(17.0, 8010.0)	(18.0, 12492.5)	(19.0, 20671.5)	(20.0, 34611.0)	(21.0, 50975.0)	(22.0, 62101.5)	(23.0, 70673.5)	(24.0, 84508.0)	(25.0, 92267.0)	(26.0, 104158.0)	(27.0, 120428.5)	(28.0, 135564.5)	(29.0, 168502.0)	(30.0, 187901.0)	(31.0, 199552.0)	(32.0, 214612.5)	(33.0, 249992.0)	(34.0, 287351.0)	(35.0, 307957.5)	(36.0, 342467.0)	(37.0, 374257.5)	(38.0, 400158.5)	(39.0, 429330.0)	(40.0, 455124.5)	(41.0, 466130.5)	(42.0, 475456.5)	(43.0, 478862.5)	(44.0, 468563.0)	(45.0, 450584.0)	(46.0, 425710.0)	(47.0, 393375.5)	(48.0, 361926.0)	(49.0, 333481.5)	(50.0, 298566.0)	(51.0, 264536.5)	(52.0, 238261.0)	(53.0, 215115.5)	(54.0, 191690.0)	(55.0, 161628.0)	(56.0, 135410.5)	(57.0, 117605.0)	(58.0, 96730.5)	(59.0, 75268.5)	(60.0, 57117.0)	(61.0, 42983.5)	(62.0, 33634.0)	(63.0, 25665.0)	(64.0, 18325.5)	(65.0, 13934.5)	(66.0, 13933.5)	(67.0, 13011.0)	(68.0, 9780.5)	(69.0, 8534.0)	(70.0, 7234.0)	(71.0, 5906.0)	(72.0, 5285.5)	(73.0, 4460.0)	(74.0, 3454.0)	(75.0, 3739.0)	(76.0, 4822.5)	(77.0, 3790.0)	(78.0, 1821.5)	(79.0, 1188.0)	(80.0, 853.0)	(81.0, 760.0)	(82.0, 549.5)	(83.0, 289.5)	(84.0, 189.0)	(85.0, 145.0)	(86.0, 105.5)	(87.0, 58.0)	(88.0, 29.5)	(89.0, 14.0)	(90.0, 7.5)	(91.0, 4.5)	(92.0, 0.5)	(93.0, 0.0)	(94.0, 0.5)	(95.0, 2.0)	(96.0, 3.5)	(97.0, 2.5)	(98.0, 3.0)	(99.0, 23.5)	(100.0, 46.5)
BFJ.2_L3_R2	(0.0, 145.0)	(1.0, 83.0)	(2.0, 16.0)	(3.0, 13.0)	(4.0, 20.5)	(5.0, 27.0)	(6.0, 52.0)	(7.0, 86.5)	(8.0, 139.0)	(9.0, 295.5)	(10.0, 858.5)	(11.0, 1420.0)	(12.0, 2277.5)	(13.0, 2522.5)	(14.0, 2423.0)	(15.0, 4120.5)	(16.0, 5928.5)	(17.0, 8003.5)	(18.0, 12507.0)	(19.0, 20748.5)	(20.0, 34785.0)	(21.0, 51976.5)	(22.0, 63195.0)	(23.0, 70938.0)	(24.0, 84680.5)	(25.0, 93008.0)	(26.0, 105245.5)	(27.0, 121928.0)	(28.0, 137274.5)	(29.0, 170461.0)	(30.0, 189791.0)	(31.0, 199924.5)	(32.0, 214208.5)	(33.0, 250245.5)	(34.0, 286734.5)	(35.0, 306390.0)	(36.0, 341488.0)	(37.0, 373819.0)	(38.0, 400266.5)	(39.0, 428680.0)	(40.0, 455073.0)	(41.0, 466113.0)	(42.0, 473338.5)	(43.0, 477307.0)	(44.0, 467758.0)	(45.0, 450390.0)	(46.0, 425545.0)	(47.0, 393260.0)	(48.0, 362815.0)	(49.0, 334368.5)	(50.0, 298651.5)	(51.0, 265102.5)	(52.0, 239805.0)	(53.0, 217192.0)	(54.0, 193347.5)	(55.0, 162640.0)	(56.0, 136254.0)	(57.0, 116976.0)	(58.0, 95498.0)	(59.0, 73903.0)	(60.0, 55505.0)	(61.0, 41804.5)	(62.0, 32849.5)	(63.0, 24985.0)	(64.0, 17923.5)	(65.0, 13774.5)	(66.0, 14074.0)	(67.0, 13124.0)	(68.0, 9795.0)	(69.0, 8529.0)	(70.0, 7237.5)	(71.0, 6040.0)	(72.0, 5397.5)	(73.0, 4512.0)	(74.0, 3464.0)	(75.0, 3728.0)	(76.0, 4743.5)	(77.0, 3641.0)	(78.0, 1714.0)	(79.0, 1130.5)	(80.0, 812.0)	(81.0, 545.0)	(82.0, 318.0)	(83.0, 213.0)	(84.0, 132.5)	(85.0, 72.5)	(86.0, 43.0)	(87.0, 28.0)	(88.0, 17.0)	(89.0, 10.5)	(90.0, 7.0)	(91.0, 3.0)	(92.0, 1.0)	(93.0, 0.5)	(94.0, 1.5)	(95.0, 1.5)	(96.0, 0.5)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.5)	(100.0, 0.5)
BFJ_WGS_L1_R1	(0.0, 2922.0)	(1.0, 1604.5)	(2.0, 239.0)	(3.0, 187.0)	(4.0, 191.5)	(5.0, 238.5)	(6.0, 396.0)	(7.0, 577.0)	(8.0, 764.5)	(9.0, 879.5)	(10.0, 2039.5)	(11.0, 3892.5)	(12.0, 7394.5)	(13.0, 13023.5)	(14.0, 21934.0)	(15.0, 37387.0)	(16.0, 56070.0)	(17.0, 81700.0)	(18.0, 121468.5)	(19.0, 177752.0)	(20.0, 260748.0)	(21.0, 364747.0)	(22.0, 469588.0)	(23.0, 572468.5)	(24.0, 697032.5)	(25.0, 827595.0)	(26.0, 969963.5)	(27.0, 1126632.0)	(28.0, 1270108.0)	(29.0, 1453081.0)	(30.0, 1677120.5)	(31.0, 1915402.0)	(32.0, 2204364.0)	(33.0, 2568429.0)	(34.0, 2956254.5)	(35.0, 3336539.0)	(36.0, 3698335.0)	(37.0, 4025337.5)	(38.0, 4336910.0)	(39.0, 4643365.5)	(40.0, 4898145.5)	(41.0, 5060308.0)	(42.0, 5151802.5)	(43.0, 5159219.5)	(44.0, 5091957.5)	(45.0, 4961109.0)	(46.0, 4762374.0)	(47.0, 4516969.0)	(48.0, 4260568.5)	(49.0, 4016379.5)	(50.0, 3798273.0)	(51.0, 3600772.5)	(52.0, 3407636.5)	(53.0, 3232680.5)	(54.0, 3048442.5)	(55.0, 2759354.0)	(56.0, 2415878.5)	(57.0, 2070137.0)	(58.0, 1704309.0)	(59.0, 1368119.0)	(60.0, 1071091.5)	(61.0, 799908.0)	(62.0, 569127.0)	(63.0, 393377.5)	(64.0, 256372.5)	(65.0, 159444.0)	(66.0, 104509.5)	(67.0, 73355.5)	(68.0, 51590.0)	(69.0, 40733.0)	(70.0, 34012.5)	(71.0, 28385.5)	(72.0, 22889.0)	(73.0, 18659.0)	(74.0, 14065.5)	(75.0, 13071.0)	(76.0, 14792.5)	(77.0, 14192.5)	(78.0, 11718.0)	(79.0, 7524.0)	(80.0, 5380.0)	(81.0, 4642.0)	(82.0, 2703.5)	(83.0, 1412.5)	(84.0, 1351.0)	(85.0, 1148.0)	(86.0, 490.5)	(87.0, 230.0)	(88.0, 174.5)	(89.0, 127.5)	(90.0, 96.0)	(91.0, 54.5)	(92.0, 20.5)	(93.0, 5.0)	(94.0, 1.5)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
BFJ_WGS_L1_R2	(0.0, 5198.0)	(1.0, 2793.5)	(2.0, 307.0)	(3.0, 226.5)	(4.0, 227.0)	(5.0, 273.5)	(6.0, 400.0)	(7.0, 518.0)	(8.0, 681.0)	(9.0, 883.0)	(10.0, 2118.5)	(11.0, 3947.0)	(12.0, 7380.5)	(13.0, 12992.5)	(14.0, 21993.5)	(15.0, 38219.0)	(16.0, 58233.5)	(17.0, 85103.5)	(18.0, 125852.5)	(19.0, 183486.5)	(20.0, 268034.0)	(21.0, 375115.0)	(22.0, 480715.5)	(23.0, 583837.5)	(24.0, 711606.5)	(25.0, 841481.0)	(26.0, 982021.0)	(27.0, 1141312.0)	(28.0, 1288729.5)	(29.0, 1472084.5)	(30.0, 1694013.5)	(31.0, 1931175.0)	(32.0, 2220554.0)	(33.0, 2581751.0)	(34.0, 2965289.0)	(35.0, 3340554.5)	(36.0, 3696493.0)	(37.0, 4022851.0)	(38.0, 4332760.0)	(39.0, 4637965.0)	(40.0, 4891002.5)	(41.0, 5048457.0)	(42.0, 5136233.5)	(43.0, 5143331.5)	(44.0, 5078019.5)	(45.0, 4951112.5)	(46.0, 4759655.5)	(47.0, 4521704.0)	(48.0, 4273551.5)	(49.0, 4034693.5)	(50.0, 3821730.0)	(51.0, 3636732.5)	(52.0, 3451819.0)	(53.0, 3277335.5)	(54.0, 3089915.5)	(55.0, 2783653.5)	(56.0, 2414828.5)	(57.0, 2042338.5)	(58.0, 1658087.0)	(59.0, 1314321.5)	(60.0, 1013343.0)	(61.0, 748710.0)	(62.0, 529976.5)	(63.0, 364672.0)	(64.0, 237404.5)	(65.0, 149886.0)	(66.0, 101723.5)	(67.0, 73227.5)	(68.0, 52136.0)	(69.0, 41311.0)	(70.0, 34652.0)	(71.0, 28553.5)	(72.0, 22406.5)	(73.0, 18035.5)	(74.0, 13826.5)	(75.0, 12286.0)	(76.0, 13312.0)	(77.0, 12779.5)	(78.0, 10485.5)	(79.0, 6740.5)	(80.0, 4601.5)	(81.0, 3167.0)	(82.0, 1491.0)	(83.0, 944.0)	(84.0, 716.0)	(85.0, 510.5)	(86.0, 215.5)	(87.0, 95.5)	(88.0, 39.0)	(89.0, 18.0)	(90.0, 11.0)	(91.0, 8.5)	(92.0, 6.0)	(93.0, 4.0)	(94.0, 2.0)	(95.0, 1.0)	(96.0, 1.0)	(97.0, 0.5)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
