Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
BFJ.2_L1_R1	(1, 0.0)	(2, 0.009364345385395696)	(3, 0.014700777957141765)	(4, 0.005721763543455449)	(5, 0.0033495697488695702)	(6, 0.003676699688393681)	(7, 0.004164384199463366)	(8, 0.004702242014141044)	(9, 0.00893084804222264)	(10, 0.004114612282284238)	(15, 0.004124646943005837)	(20, 0.00418927015805293)	(25, 0.004597480156207557)	(30, 0.004575805289048903)	(35, 0.0046568853476794195)	(40, 0.004837509240668192)	(45, 0.004993648561496264)	(50, 0.005523655175725717)	(55, 0.005628351475608441)	(60, 0.00617380875444314)	(65, 0.006530538514095973)	(70, 0.006731814262407784)	(75, 0.006985775812099856)	(80, 0.007407778865342607)	(85, 0.007328322504275838)	(90, 0.007361185438860023)	(95, 0.007589779635057511)	(100, 0.007768531732867702)	(105, 0.008224553092743808)	(110, 0.008194324768666045)	(115, 0.00798475874485894)	(120, 0.008038506251760584)	(125, 0.00804021147673409)	(130, 0.007912023351591376)	(135, 0.008740107950762674)	(140, 0.008203822259726285)	(145, 0.007767733531002389)	(150, 0.0)
BFJ.2_L1_R2	(1, 0.0)	(2, 0.0018022250655990858)	(3, 0.004387153667482852)	(4, 0.001966793501433301)	(5, 0.0005117676968015222)	(6, 0.0004214557503071359)	(7, 0.0046400271176671335)	(8, 0.0009171679899541004)	(9, 0.0010496255114792001)	(10, 0.0006610834483389075)	(15, 0.00041704049958963255)	(20, 0.0004916983753583252)	(25, 0.00043028625174214253)	(30, 0.00030665923165204936)	(35, 0.0003319465766704775)	(40, 0.00032512300737979054)	(45, 0.0003556283759734499)	(50, 0.00035245558212647804)	(55, 0.0003854899076995413)	(60, 0.0005559425439647217)	(65, 0.0006799646042255171)	(70, 0.002367935113897498)	(75, 0.0003552960048271972)	(80, 0.0008131085371346186)	(85, 0.005060478340263733)	(90, 0.0005792243207113478)	(95, 0.0012892143074158674)	(100, 0.0016239838678711509)	(105, 0.0019341821441491447)	(110, 0.0028560014420737716)	(115, 0.0016471338724574948)	(120, 0.001189745980319265)	(125, 0.002040715819026109)	(130, 0.00036623618998146733)	(135, 0.0006809233670930095)	(140, 0.00037196052284655474)	(145, 0.0006895831511718715)	(150, 0.0)
BFJ.2_L2_R1	(1, 0.0)	(2, 0.00047631459520536436)	(3, 0.000436621712271584)	(4, 0.00017200249271304824)	(5, 0.00015877153173512147)	(6, 9.261672684548752e-05)	(7, 0.00015877153173512147)	(8, 0.0001058476878234143)	(9, 0.0001058476878234143)	(10, 7.144718928080466e-05)	(15, 2.3815729760268217e-05)	(20, 2.9108114151438935e-05)	(25, 3.440049854260965e-05)	(30, 3.175430634702429e-05)	(35, 3.175430634702429e-05)	(40, 2.3815729760268217e-05)	(45, 2.9108114151438935e-05)	(50, 3.704759266066019e-05)	(55, 4.2342484699873955e-05)	(60, 6.351685186769186e-05)	(65, 5.293311242228195e-05)	(70, 4.764192456541765e-05)	(75, 2.117511625271167e-05)	(80, 2.911712277933631e-05)	(85, 1.852995758095639e-05)	(90, 1.853092345203784e-05)	(95, 2.9121635352436913e-05)	(100, 2.118062442016386e-05)	(105, 1.588664097920383e-05)	(110, 1.3240037672673593e-05)	(115, 1.0593227913589875e-05)	(120, 2.1189309876626037e-05)	(125, 1.589445404351732e-05)	(130, 2.119637647944084e-05)	(135, 1.855072512929458e-05)	(140, 7.952242226146446e-06)	(145, 2.6516210857863323e-06)	(150, 0.0)
BFJ.2_L2_R2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
BFJ.2_L3_R1	(1, 0.0)	(2, 0.007497664226383082)	(3, 0.007951775332877935)	(4, 0.011410749292987655)	(5, 0.006386541306236105)	(6, 0.008164337978471268)	(7, 0.006531470382777014)	(8, 0.004512125249640334)	(9, 0.005236770632344885)	(10, 0.005285080324525188)	(15, 0.005907309159807496)	(20, 0.0048522254825896696)	(25, 0.005370105382762522)	(30, 0.007084133261319686)	(35, 0.005590397579104706)	(40, 0.005988469442670405)	(45, 0.005746920981768888)	(50, 0.006493534353057869)	(55, 0.005965612938892522)	(60, 0.006091054182808121)	(65, 0.006590141716674469)	(70, 0.006604098972475342)	(75, 0.006418854118009472)	(80, 0.0069368659216526895)	(85, 0.006808580027621445)	(90, 0.008374394196420757)	(95, 0.006978494560672734)	(100, 0.007531707644997648)	(105, 0.00800824313088285)	(110, 0.00794313168497936)	(115, 0.007263654986031559)	(120, 0.007019123278430158)	(125, 0.008150541811500841)	(130, 0.00716029373254581)	(135, 0.007474747632249433)	(140, 0.0075106476253383936)	(145, 0.00721794484928002)	(150, 0.0)
BFJ.2_L3_R2	(1, 0.0)	(2, 0.0047053640183615485)	(3, 0.014589527038451615)	(4, 0.001652191472566375)	(5, 0.0005797163061636403)	(6, 0.000502420798675155)	(7, 0.0029082434692542626)	(8, 0.007806846256337024)	(9, 0.0026860188852248675)	(10, 0.0016019493926988598)	(15, 0.0011536354492656443)	(20, 0.0019207933610888618)	(25, 0.00083285909318843)	(30, 0.0009855177204781886)	(35, 0.000314979193015578)	(40, 0.00039420708819127545)	(45, 0.0011362439600807353)	(50, 0.00025316653845681856)	(55, 0.0003866165415743072)	(60, 0.00047761825736202624)	(65, 0.0002804923581017693)	(70, 0.00027288779092088383)	(75, 0.00029048662687684135)	(80, 0.00046903257031941743)	(85, 0.0002638430801041172)	(90, 0.00021362196172038155)	(95, 0.00025274183086882184)	(100, 0.00041848773714142905)	(105, 0.0006898669842913)	(110, 0.0010574996922129585)	(115, 0.0004376044695201356)	(120, 0.001144391180370839)	(125, 0.0014005642844119428)	(130, 0.0008179343943648911)	(135, 0.0005087487699181527)	(140, 0.0006452175882222926)	(145, 0.000382285813387259)	(150, 0.0)
BFJ_WGS_L1_R1	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 8.41217504188422e-07)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 8.41217504188422e-07)	(9, 0.0)	(10, 3.364870016753688e-07)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 1.6824762878479833e-07)	(55, 0.0)	(60, 0.0)	(65, 1.6827692794199028e-07)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 1.683494932516954e-07)	(100, 0.0)	(105, 1.6839188559715288e-07)	(110, 0.0)	(115, 1.684577706093456e-07)	(120, 0.0)	(125, 0.0)	(130, 5.058817556436118e-07)	(135, 0.0)	(140, 1.687989647289415e-07)	(145, 1.6892175349442434e-07)	(150, 0.0)
BFJ_WGS_L1_R2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 8.41217504188422e-07)	(7, 0.0)	(8, 3.364870016753688e-06)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 1.682435008376844e-07)	(40, 0.0)	(45, 0.0)	(50, 3.3650017517946746e-07)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 3.3769811638305636e-07)	(115, 1.6901361679161372e-07)	(120, 1.6921968547153983e-07)	(125, 0.0)	(130, 1.697641404493298e-07)	(135, 1.7009851737012295e-07)	(140, 0.0)	(145, 0.0)	(150, 0.0)
