Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
BFJ.2_L1_R1	(1, 39.797804175402256)	(2, 39.796668552848395)	(3, 39.79251388220051)	(4, 39.745367373444616)	(5, 39.79071175748152)	(6, 39.775949487123476)	(7, 39.77416837498403)	(8, 39.75518785436777)	(9, 39.7570641352295)	(10, 39.75843088411683)	(15, 39.756257753907775)	(20, 39.748619101237594)	(25, 39.747926504940715)	(30, 39.73651855273299)	(35, 39.733924460478946)	(40, 39.724921001631735)	(45, 39.72061750893762)	(50, 39.70770237163147)	(55, 39.70331561476797)	(60, 39.69609930915711)	(65, 39.68934186924061)	(70, 39.68104163213779)	(75, 39.67538887884382)	(80, 39.66668542782908)	(85, 39.658029830547996)	(90, 39.65441440048845)	(95, 39.64634581421791)	(100, 39.640047490253814)	(105, 39.634725470655546)	(110, 39.62945049360923)	(115, 39.625277185512495)	(120, 39.62341107031837)	(125, 39.61589142377696)	(130, 39.611891331428254)	(135, 39.60671032056293)	(140, 39.60401695785377)	(145, 39.605574348579395)	(150, 39.81355206490881)
BFJ.2_L1_R2	(1, 39.791061064021235)	(2, 39.79557806619846)	(3, 39.809916151378474)	(4, 39.78388903110233)	(5, 39.82103553885476)	(6, 39.80899523042541)	(7, 39.80525456980958)	(8, 39.7900870998516)	(9, 39.78998384319277)	(10, 39.78889124123636)	(15, 39.79045598200746)	(20, 39.78659350462432)	(25, 39.77569446224203)	(30, 39.76444812827989)	(35, 39.75212074024889)	(40, 39.74022497910031)	(45, 39.72674318764444)	(50, 39.71291880794543)	(55, 39.699910058582745)	(60, 39.68748808713353)	(65, 39.670994112145564)	(70, 39.65968176372477)	(75, 39.64486347419159)	(80, 39.63096167849496)	(85, 39.61380118573361)	(90, 39.604201997783136)	(95, 39.591142371517584)	(100, 39.57568368337022)	(105, 39.56293920166162)	(110, 39.55031563682821)	(115, 39.53610151717113)	(120, 39.52559390943736)	(125, 39.51249084760785)	(130, 39.498234610635954)	(135, 39.486644988693385)	(140, 39.472100440898124)	(145, 39.46339337670575)	(150, 39.728712706549345)
BFJ.2_L2_R1	(1, 37.9092664358305)	(2, 37.44166072376003)	(3, 36.49293294681286)	(4, 37.86833989809514)	(5, 37.3413478115329)	(6, 37.3261364403158)	(7, 37.41597545921358)	(8, 37.28098102283267)	(9, 37.29848664268334)	(10, 37.302632193838875)	(15, 37.28132862663948)	(20, 37.280045884972665)	(25, 37.27890381488298)	(30, 37.2752783728035)	(35, 37.274060039454724)	(40, 37.266117228960454)	(45, 37.26044958805404)	(50, 37.259982671259706)	(55, 37.25718093612157)	(60, 37.260607210226794)	(65, 37.245275296895755)	(70, 37.240325635614994)	(75, 37.22303537177872)	(80, 37.21240476785118)	(85, 37.20824954280841)	(90, 37.19452745179781)	(95, 37.169945649635075)	(100, 37.16193017765141)	(105, 37.149157900197416)	(110, 37.11793161708102)	(115, 37.10627864500851)	(120, 37.084145465679434)	(125, 37.054293710947384)	(130, 37.01708513574599)	(135, 37.001464633137566)	(140, 36.9690780917734)	(145, 36.93952608186871)	(150, 37.03418080248192)
BFJ.2_L2_R2	(1, 37.109190490114486)	(2, 35.72927125190029)	(3, 36.29568683903081)	(4, 37.29752488412986)	(5, 36.629009940420985)	(6, 36.61100471948378)	(7, 36.620265598310674)	(8, 36.57066074096028)	(9, 36.57780360755382)	(10, 36.51138267511508)	(15, 36.5119233715664)	(20, 36.46303203347962)	(25, 36.47066116435103)	(30, 36.45272728475542)	(35, 36.426944402178876)	(40, 36.41243228724945)	(45, 36.40563202315947)	(50, 36.374816562618854)	(55, 36.35527539895637)	(60, 36.34233607243169)	(65, 36.318112877102905)	(70, 36.277426073010645)	(75, 36.26745357450798)	(80, 36.228989948210916)	(85, 36.20820218904213)	(90, 36.179527458992)	(95, 36.13109343014482)	(100, 36.08439885169845)	(105, 36.064413317639385)	(110, 36.028604247562235)	(115, 36.002915485390155)	(120, 35.9678605372911)	(125, 35.906363140299966)	(130, 35.86582636831001)	(135, 35.7938335959765)	(140, 35.73470684459062)	(145, 35.68690048821372)	(150, 35.97328826396987)
BFJ.2_L3_R1	(1, 39.7567166414329)	(2, 39.803569506535815)	(3, 39.803718783484655)	(4, 39.72003808736132)	(5, 39.79190223277735)	(6, 39.75409622710966)	(7, 39.7763378161507)	(8, 39.75878458611638)	(9, 39.76321100997209)	(10, 39.764539507183166)	(15, 39.76131112504578)	(20, 39.755621170853026)	(25, 39.75593839161576)	(30, 39.743684812109116)	(35, 39.74159394930767)	(40, 39.7310472091974)	(45, 39.72268723628947)	(50, 39.71155781088438)	(55, 39.709891635458156)	(60, 39.70087201324061)	(65, 39.694896964076925)	(70, 39.69099880171451)	(75, 39.68861382655514)	(80, 39.68253642647765)	(85, 39.67637680859815)	(90, 39.674263120000774)	(95, 39.66675381417274)	(100, 39.662808955909156)	(105, 39.65852430669657)	(110, 39.65461438998149)	(115, 39.651253721276845)	(120, 39.647974378309314)	(125, 39.64229328517004)	(130, 39.63833238331633)	(135, 39.63357783054407)	(140, 39.632135649142555)	(145, 39.63234096019543)	(150, 39.82562821980439)
BFJ.2_L3_R2	(1, 39.769492622626906)	(2, 39.77690709756335)	(3, 39.80181286950876)	(4, 39.7885269312041)	(5, 39.819029670846746)	(6, 39.807654863964736)	(7, 39.794668542370985)	(8, 39.80141595707781)	(9, 39.813158980433606)	(10, 39.79705169813399)	(15, 39.78062203559651)	(20, 39.80969038318282)	(25, 39.796991195075506)	(30, 39.787520601668234)	(35, 39.77947350165074)	(40, 39.7706349536082)	(45, 39.757859552130505)	(50, 39.74523167648024)	(55, 39.734308166138256)	(60, 39.72268957982204)	(65, 39.70781765137973)	(70, 39.699897316138625)	(75, 39.68571439264887)	(80, 39.67440296389719)	(85, 39.66344998686829)	(90, 39.65620681851658)	(95, 39.64700189066453)	(100, 39.63099020757642)	(105, 39.622944585713014)	(110, 39.61226429901975)	(115, 39.60044583291816)	(120, 39.59315601421577)	(125, 39.58070077049099)	(130, 39.56879141211557)	(135, 39.554469457420325)	(140, 39.54404878605173)	(145, 39.5347767121185)	(150, 39.763370680633585)
BFJ_WGS_L1_R1	(1, 37.55034027248045)	(2, 37.40945753920999)	(3, 37.40672075583056)	(4, 37.41468502461234)	(5, 37.42017237051391)	(6, 37.403665437031)	(7, 37.38287232370857)	(8, 37.36984470788386)	(9, 37.35863855508444)	(10, 37.348799372317146)	(15, 37.33311475081623)	(20, 37.33111305357579)	(25, 37.32705652106762)	(30, 37.32262642405506)	(35, 37.31724698112274)	(40, 37.311709555860716)	(45, 37.302841693296806)	(50, 37.29326040547201)	(55, 37.28380954822345)	(60, 37.273484534886805)	(65, 37.26153608894832)	(70, 37.24621958311023)	(75, 37.23209112502982)	(80, 37.2134388850575)	(85, 37.192466470509416)	(90, 37.17185554748801)	(95, 37.14854777152311)	(100, 37.12184740064875)	(105, 37.09241119630171)	(110, 37.060336850613375)	(115, 37.0265181396947)	(120, 36.98643843908798)	(125, 36.949440418859766)	(130, 36.9063903971778)	(135, 36.85917320081411)	(140, 36.80557147694647)	(145, 36.74985181894922)	(150, 36.90560747004035)
BFJ_WGS_L1_R2	(1, 36.714328415687966)	(2, 36.810613902027775)	(3, 36.86133007254996)	(4, 36.917699981796055)	(5, 36.88708993590932)	(6, 36.8785796917308)	(7, 36.83499335269928)	(8, 36.81909773197666)	(9, 36.78187161136559)	(10, 36.748372459481075)	(15, 36.718028704360165)	(20, 36.7024882978233)	(25, 36.694683178981144)	(30, 36.67272208730962)	(35, 36.65113384679006)	(40, 36.62625198569392)	(45, 36.60395772310014)	(50, 36.575888251243825)	(55, 36.549837868123575)	(60, 36.52183472025267)	(65, 36.49161021334213)	(70, 36.46418465065609)	(75, 36.43960358943437)	(80, 36.408995678349626)	(85, 36.3773918826348)	(90, 36.33978867543454)	(95, 36.29577195551346)	(100, 36.256817371306624)	(105, 36.211296361485566)	(110, 36.15822393573133)	(115, 36.10690391227015)	(120, 36.06224194234684)	(125, 36.003336401338174)	(130, 35.94882282255046)	(135, 35.89197208033552)	(140, 35.82143613911455)	(145, 35.75645667874896)	(150, 36.03175102703566)
