Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
BFJ.2_L1_1	52.62981419445893	41.0	150.0	150	20.0	50.028192999999995
BFJ.2_L1_2	52.77720313710615	41.0	150.0	150	20.0	50.028192999999995
BFJ.2_L2_1	38.822234679103694	41.0	150.0	150	10.0	7.577522999999999
BFJ.2_L2_2	37.83524886020253	41.0	150.0	150	10.0	7.577522999999999
BFJ.2_L3_1	41.81364971976053	41.0	150.0	150	10.0	10.391155999999999
BFJ.2_L3_2	42.098200806272615	41.0	150.0	150	10.0	10.391155999999999
BFJ_WGS_L1_1	57.141386314438186	42.0	150.0	150	10.0	119.057811
BFJ_WGS_L1_2	56.64238379966415	42.0	150.0	150	10.0	119.057811
