Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
BFJ.2_L1_1	(0.0, 725.0)	(1.0, 405.0)	(2.0, 71.0)	(3.0, 52.5)	(4.0, 56.0)	(5.0, 70.0)	(6.0, 100.0)	(7.0, 137.0)	(8.0, 182.0)	(9.0, 413.5)	(10.0, 2769.5)	(11.0, 5310.0)	(12.0, 10313.5)	(13.0, 12189.5)	(14.0, 11653.5)	(15.0, 18648.0)	(16.0, 26906.0)	(17.0, 37923.0)	(18.0, 59384.5)	(19.0, 98626.5)	(20.0, 165273.5)	(21.0, 243523.5)	(22.0, 296316.0)	(23.0, 337499.5)	(24.0, 404942.5)	(25.0, 442432.5)	(26.0, 498736.0)	(27.0, 579352.5)	(28.0, 654809.0)	(29.0, 810719.5)	(30.0, 902216.0)	(31.0, 958982.5)	(32.0, 1036171.5)	(33.0, 1208505.0)	(34.0, 1389015.5)	(35.0, 1492640.5)	(36.0, 1661558.5)	(37.0, 1818467.5)	(38.0, 1945369.5)	(39.0, 2084366.0)	(40.0, 2210208.0)	(41.0, 2261417.5)	(42.0, 2299950.5)	(43.0, 2318500.0)	(44.0, 2270738.5)	(45.0, 2180446.5)	(46.0, 2057920.0)	(47.0, 1904079.0)	(48.0, 1751040.0)	(49.0, 1609326.0)	(50.0, 1435647.5)	(51.0, 1270998.0)	(52.0, 1145094.0)	(53.0, 1030536.5)	(54.0, 915399.0)	(55.0, 770466.5)	(56.0, 646235.5)	(57.0, 561648.0)	(58.0, 464038.5)	(59.0, 359745.0)	(60.0, 271224.5)	(61.0, 204779.0)	(62.0, 160610.5)	(63.0, 122828.5)	(64.0, 88147.0)	(65.0, 67086.5)	(66.0, 66828.5)	(67.0, 62376.0)	(68.0, 46786.0)	(69.0, 40405.5)	(70.0, 34429.0)	(71.0, 28589.5)	(72.0, 25507.0)	(73.0, 21810.0)	(74.0, 17034.0)	(75.0, 17943.5)	(76.0, 22933.0)	(77.0, 18132.5)	(78.0, 9027.5)	(79.0, 5913.5)	(80.0, 4299.5)	(81.0, 3773.0)	(82.0, 2699.0)	(83.0, 1482.5)	(84.0, 1051.0)	(85.0, 893.0)	(86.0, 571.0)	(87.0, 324.5)	(88.0, 209.0)	(89.0, 122.5)	(90.0, 84.5)	(91.0, 58.5)	(92.0, 41.0)	(93.0, 27.5)	(94.0, 23.5)	(95.0, 21.5)	(96.0, 17.0)	(97.0, 10.5)	(98.0, 13.0)	(99.0, 50.0)	(100.0, 83.0)
BFJ.2_L1_2	(0.0, 700.0)	(1.0, 416.5)	(2.0, 101.5)	(3.0, 75.5)	(4.0, 78.5)	(5.0, 79.0)	(6.0, 133.0)	(7.0, 259.5)	(8.0, 558.0)	(9.0, 1452.0)	(10.0, 4267.5)	(11.0, 7087.0)	(12.0, 11278.0)	(13.0, 12088.0)	(14.0, 11248.5)	(15.0, 18995.0)	(16.0, 27555.5)	(17.0, 37555.5)	(18.0, 59567.5)	(19.0, 99718.0)	(20.0, 166619.0)	(21.0, 247001.0)	(22.0, 301355.5)	(23.0, 341616.0)	(24.0, 406807.5)	(25.0, 446980.5)	(26.0, 506345.5)	(27.0, 585875.5)	(28.0, 660839.0)	(29.0, 818868.0)	(30.0, 912608.5)	(31.0, 963211.5)	(32.0, 1036129.5)	(33.0, 1210909.5)	(34.0, 1388366.0)	(35.0, 1486333.5)	(36.0, 1655455.0)	(37.0, 1812537.5)	(38.0, 1940216.5)	(39.0, 2080696.0)	(40.0, 2209288.0)	(41.0, 2262877.5)	(42.0, 2295612.5)	(43.0, 2311105.0)	(44.0, 2265821.0)	(45.0, 2179235.5)	(46.0, 2057443.0)	(47.0, 1902299.5)	(48.0, 1751681.0)	(49.0, 1610959.5)	(50.0, 1439429.0)	(51.0, 1276255.5)	(52.0, 1151239.0)	(53.0, 1039744.0)	(54.0, 924686.5)	(55.0, 776367.0)	(56.0, 646753.5)	(57.0, 555072.5)	(58.0, 454050.0)	(59.0, 350451.0)	(60.0, 261717.0)	(61.0, 196621.0)	(62.0, 154816.5)	(63.0, 118359.0)	(64.0, 84543.5)	(65.0, 64994.5)	(66.0, 65673.5)	(67.0, 61498.0)	(68.0, 46604.5)	(69.0, 40801.0)	(70.0, 34949.0)	(71.0, 28821.5)	(72.0, 25589.0)	(73.0, 21789.5)	(74.0, 16870.0)	(75.0, 17916.5)	(76.0, 22656.0)	(77.0, 17412.0)	(78.0, 8406.0)	(79.0, 5573.5)	(80.0, 3903.0)	(81.0, 2669.5)	(82.0, 1563.5)	(83.0, 927.0)	(84.0, 554.0)	(85.0, 369.5)	(86.0, 221.5)	(87.0, 120.0)	(88.0, 63.5)	(89.0, 39.0)	(90.0, 28.5)	(91.0, 25.5)	(92.0, 26.5)	(93.0, 16.0)	(94.0, 8.0)	(95.0, 4.0)	(96.0, 3.5)	(97.0, 3.0)	(98.0, 2.5)	(99.0, 2.5)	(100.0, 13.5)
BFJ.2_L2_1	(0.0, 79.0)	(1.0, 43.5)	(2.0, 7.5)	(3.0, 7.5)	(4.0, 7.5)	(5.0, 9.5)	(6.0, 14.5)	(7.0, 12.5)	(8.0, 14.5)	(9.0, 53.5)	(10.0, 388.0)	(11.0, 762.5)	(12.0, 1594.0)	(13.0, 1869.0)	(14.0, 1692.0)	(15.0, 2841.5)	(16.0, 4173.0)	(17.0, 5821.5)	(18.0, 9224.0)	(19.0, 15287.5)	(20.0, 25777.0)	(21.0, 38305.0)	(22.0, 46326.5)	(23.0, 52304.5)	(24.0, 62631.0)	(25.0, 68078.0)	(26.0, 76395.5)	(27.0, 88923.5)	(28.0, 101081.5)	(29.0, 126359.5)	(30.0, 139850.5)	(31.0, 147641.0)	(32.0, 159464.5)	(33.0, 186293.0)	(34.0, 213486.5)	(35.0, 227338.0)	(36.0, 252686.5)	(37.0, 277223.5)	(38.0, 296594.5)	(39.0, 318176.0)	(40.0, 337828.5)	(41.0, 345362.0)	(42.0, 350893.5)	(43.0, 353374.5)	(44.0, 346684.0)	(45.0, 332577.5)	(46.0, 313009.5)	(47.0, 288871.5)	(48.0, 264823.5)	(49.0, 243111.5)	(50.0, 215866.0)	(51.0, 189762.0)	(52.0, 170344.0)	(53.0, 152925.5)	(54.0, 134925.0)	(55.0, 111903.0)	(56.0, 92751.0)	(57.0, 80059.5)	(58.0, 65387.5)	(59.0, 49885.5)	(60.0, 36947.0)	(61.0, 27816.0)	(62.0, 22168.5)	(63.0, 17080.5)	(64.0, 12194.0)	(65.0, 9383.0)	(66.0, 9751.5)	(67.0, 9279.5)	(68.0, 6860.0)	(69.0, 5898.0)	(70.0, 5076.0)	(71.0, 4186.0)	(72.0, 3659.0)	(73.0, 3089.0)	(74.0, 2414.0)	(75.0, 2653.0)	(76.0, 3564.0)	(77.0, 2795.5)	(78.0, 1233.5)	(79.0, 749.5)	(80.0, 529.0)	(81.0, 419.0)	(82.0, 266.0)	(83.0, 132.5)	(84.0, 81.5)	(85.0, 66.5)	(86.0, 42.5)	(87.0, 25.0)	(88.0, 12.0)	(89.0, 3.5)	(90.0, 1.0)	(91.0, 1.5)	(92.0, 0.5)	(93.0, 0.0)	(94.0, 0.5)	(95.0, 0.5)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
BFJ.2_L2_2	(0.0, 105.0)	(1.0, 58.0)	(2.0, 9.5)	(3.0, 7.0)	(4.0, 6.5)	(5.0, 8.0)	(6.0, 13.5)	(7.0, 18.0)	(8.0, 25.5)	(9.0, 58.5)	(10.0, 404.0)	(11.0, 810.0)	(12.0, 1571.5)	(13.0, 1799.0)	(14.0, 1731.0)	(15.0, 3014.5)	(16.0, 4315.5)	(17.0, 5957.0)	(18.0, 9411.0)	(19.0, 15586.5)	(20.0, 26262.5)	(21.0, 39013.0)	(22.0, 47280.5)	(23.0, 53316.5)	(24.0, 63498.0)	(25.0, 69529.5)	(26.0, 78334.5)	(27.0, 90739.0)	(28.0, 102521.0)	(29.0, 127245.0)	(30.0, 141351.0)	(31.0, 148907.0)	(32.0, 159586.5)	(33.0, 186131.0)	(34.0, 212398.0)	(35.0, 226364.0)	(36.0, 251848.5)	(37.0, 276179.0)	(38.0, 296623.0)	(39.0, 317054.0)	(40.0, 336383.5)	(41.0, 345062.5)	(42.0, 350389.5)	(43.0, 353271.0)	(44.0, 346327.0)	(45.0, 331960.5)	(46.0, 312557.5)	(47.0, 289057.5)	(48.0, 266169.0)	(49.0, 243437.5)	(50.0, 216204.5)	(51.0, 190984.5)	(52.0, 170797.0)	(53.0, 153465.0)	(54.0, 135827.0)	(55.0, 112820.0)	(56.0, 92684.0)	(57.0, 78170.5)	(58.0, 63082.0)	(59.0, 48135.5)	(60.0, 35579.5)	(61.0, 26679.5)	(62.0, 21179.0)	(63.0, 16187.0)	(64.0, 11627.5)	(65.0, 9083.5)	(66.0, 9503.5)	(67.0, 9102.0)	(68.0, 6754.0)	(69.0, 5896.0)	(70.0, 5071.5)	(71.0, 4160.5)	(72.0, 3711.5)	(73.0, 3099.5)	(74.0, 2372.0)	(75.0, 2563.5)	(76.0, 3364.0)	(77.0, 2628.0)	(78.0, 1169.0)	(79.0, 733.5)	(80.0, 507.5)	(81.0, 336.0)	(82.0, 181.0)	(83.0, 93.5)	(84.0, 55.5)	(85.0, 27.0)	(86.0, 14.5)	(87.0, 10.0)	(88.0, 5.0)	(89.0, 2.0)	(90.0, 1.0)	(91.0, 0.5)	(92.0, 0.5)	(93.0, 0.5)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
BFJ.2_L3_1	(0.0, 142.0)	(1.0, 77.0)	(2.0, 12.0)	(3.0, 12.5)	(4.0, 15.5)	(5.0, 19.0)	(6.0, 23.5)	(7.0, 29.5)	(8.0, 36.5)	(9.0, 93.5)	(10.0, 592.5)	(11.0, 1116.5)	(12.0, 2195.0)	(13.0, 2593.5)	(14.0, 2480.5)	(15.0, 3997.0)	(16.0, 5681.5)	(17.0, 8001.0)	(18.0, 12505.0)	(19.0, 20683.5)	(20.0, 34652.5)	(21.0, 51085.5)	(22.0, 62230.5)	(23.0, 70789.0)	(24.0, 84697.5)	(25.0, 92498.5)	(26.0, 104389.0)	(27.0, 120684.0)	(28.0, 135821.0)	(29.0, 168846.0)	(30.0, 188197.5)	(31.0, 199831.5)	(32.0, 214991.0)	(33.0, 250539.5)	(34.0, 288182.0)	(35.0, 308969.5)	(36.0, 343591.0)	(37.0, 375473.5)	(38.0, 401320.5)	(39.0, 430548.0)	(40.0, 456567.5)	(41.0, 467579.5)	(42.0, 476934.0)	(43.0, 480339.0)	(44.0, 469973.5)	(45.0, 451971.0)	(46.0, 426992.0)	(47.0, 394574.5)	(48.0, 363042.5)	(49.0, 334518.0)	(50.0, 299507.5)	(51.0, 265291.0)	(52.0, 238893.5)	(53.0, 215670.5)	(54.0, 192116.0)	(55.0, 161936.0)	(56.0, 135684.5)	(57.0, 117838.5)	(58.0, 96904.0)	(59.0, 75355.5)	(60.0, 57108.5)	(61.0, 42992.0)	(62.0, 33637.0)	(63.0, 25661.0)	(64.0, 18347.5)	(65.0, 13962.5)	(66.0, 13969.0)	(67.0, 13019.0)	(68.0, 9762.0)	(69.0, 8528.5)	(70.0, 7240.5)	(71.0, 5915.0)	(72.0, 5291.0)	(73.0, 4481.5)	(74.0, 3469.5)	(75.0, 3739.5)	(76.0, 4837.0)	(77.0, 3802.5)	(78.0, 1828.0)	(79.0, 1189.0)	(80.0, 853.5)	(81.0, 766.5)	(82.0, 552.0)	(83.0, 281.5)	(84.0, 177.5)	(85.0, 138.0)	(86.0, 99.0)	(87.0, 52.5)	(88.0, 26.5)	(89.0, 14.0)	(90.0, 9.0)	(91.0, 4.5)	(92.0, 1.0)	(93.0, 0.0)	(94.0, 0.5)	(95.0, 1.5)	(96.0, 4.0)	(97.0, 4.5)	(98.0, 6.0)	(99.0, 32.5)	(100.0, 58.5)
BFJ.2_L3_2	(0.0, 144.0)	(1.0, 82.5)	(2.0, 15.5)	(3.0, 10.5)	(4.0, 16.0)	(5.0, 18.5)	(6.0, 29.5)	(7.0, 53.5)	(8.0, 98.0)	(9.0, 241.0)	(10.0, 811.5)	(11.0, 1395.5)	(12.0, 2260.0)	(13.0, 2492.0)	(14.0, 2370.0)	(15.0, 4048.0)	(16.0, 5861.5)	(17.0, 7936.5)	(18.0, 12437.0)	(19.0, 20710.5)	(20.0, 34766.5)	(21.0, 52013.5)	(22.0, 63229.0)	(23.0, 70967.0)	(24.0, 84784.0)	(25.0, 93137.0)	(26.0, 105369.5)	(27.0, 122068.0)	(28.0, 137523.5)	(29.0, 170823.5)	(30.0, 190012.5)	(31.0, 200146.0)	(32.0, 214712.0)	(33.0, 250952.0)	(34.0, 287562.0)	(35.0, 307303.5)	(36.0, 342567.0)	(37.0, 374956.0)	(38.0, 401457.5)	(39.0, 430078.0)	(40.0, 456670.0)	(41.0, 467719.0)	(42.0, 474861.0)	(43.0, 478808.0)	(44.0, 469286.0)	(45.0, 451868.0)	(46.0, 426852.5)	(47.0, 394441.5)	(48.0, 363839.0)	(49.0, 335324.5)	(50.0, 299562.5)	(51.0, 265667.5)	(52.0, 240161.5)	(53.0, 217566.0)	(54.0, 193675.5)	(55.0, 162852.5)	(56.0, 136425.0)	(57.0, 117144.5)	(58.0, 95522.0)	(59.0, 73617.0)	(60.0, 54999.5)	(61.0, 41405.5)	(62.0, 32540.5)	(63.0, 24741.5)	(64.0, 17762.0)	(65.0, 13607.5)	(66.0, 13910.0)	(67.0, 12994.5)	(68.0, 9698.5)	(69.0, 8489.5)	(70.0, 7219.0)	(71.0, 6027.5)	(72.0, 5409.5)	(73.0, 4534.0)	(74.0, 3482.0)	(75.0, 3727.0)	(76.0, 4736.0)	(77.0, 3634.5)	(78.0, 1701.0)	(79.0, 1116.5)	(80.0, 800.5)	(81.0, 535.0)	(82.0, 307.5)	(83.0, 206.0)	(84.0, 130.5)	(85.0, 74.5)	(86.0, 43.5)	(87.0, 24.5)	(88.0, 13.0)	(89.0, 4.0)	(90.0, 5.0)	(91.0, 8.5)	(92.0, 7.0)	(93.0, 4.5)	(94.0, 2.5)	(95.0, 1.0)	(96.0, 0.5)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.5)	(100.0, 0.5)
BFJ_WGS_L1_1	(0.0, 2935.0)	(1.0, 1610.0)	(2.0, 238.5)	(3.0, 188.5)	(4.0, 190.5)	(5.0, 232.5)	(6.0, 389.5)	(7.0, 572.0)	(8.0, 758.5)	(9.0, 870.0)	(10.0, 2023.5)	(11.0, 3865.5)	(12.0, 7365.5)	(13.0, 12994.0)	(14.0, 21893.5)	(15.0, 37348.5)	(16.0, 56035.0)	(17.0, 81707.5)	(18.0, 121554.0)	(19.0, 177914.0)	(20.0, 261143.0)	(21.0, 365365.5)	(22.0, 470304.0)	(23.0, 573398.5)	(24.0, 698195.0)	(25.0, 829003.5)	(26.0, 971660.5)	(27.0, 1128464.0)	(28.0, 1272005.0)	(29.0, 1455296.5)	(30.0, 1679808.5)	(31.0, 1918402.0)	(32.0, 2207664.5)	(33.0, 2572300.0)	(34.0, 2960726.5)	(35.0, 3341672.0)	(36.0, 3703961.5)	(37.0, 4031132.5)	(38.0, 4343117.0)	(39.0, 4650009.0)	(40.0, 4905091.5)	(41.0, 5067442.0)	(42.0, 5158942.5)	(43.0, 5166173.0)	(44.0, 5098656.5)	(45.0, 4967563.0)	(46.0, 4768481.5)	(47.0, 4522595.0)	(48.0, 4265697.0)	(49.0, 4021129.0)	(50.0, 3802667.5)	(51.0, 3604807.0)	(52.0, 3411282.0)	(53.0, 3236019.5)	(54.0, 3051460.5)	(55.0, 2761930.0)	(56.0, 2418049.0)	(57.0, 2072109.0)	(58.0, 1706022.5)	(59.0, 1369366.5)	(60.0, 1072015.0)	(61.0, 800639.0)	(62.0, 569609.5)	(63.0, 393647.5)	(64.0, 256547.5)	(65.0, 159535.5)	(66.0, 104547.0)	(67.0, 73369.0)	(68.0, 51588.5)	(69.0, 40736.5)	(70.0, 34026.0)	(71.0, 28399.0)	(72.0, 22897.5)	(73.0, 18671.5)	(74.0, 14078.5)	(75.0, 13081.5)	(76.0, 14803.0)	(77.0, 14200.5)	(78.0, 11722.0)	(79.0, 7525.5)	(80.0, 5383.5)	(81.0, 4644.5)	(82.0, 2708.5)	(83.0, 1418.5)	(84.0, 1347.0)	(85.0, 1142.5)	(86.0, 488.5)	(87.0, 224.0)	(88.0, 171.5)	(89.0, 128.0)	(90.0, 96.5)	(91.0, 57.0)	(92.0, 21.5)	(93.0, 5.5)	(94.0, 2.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
BFJ_WGS_L1_2	(0.0, 5245.0)	(1.0, 2821.0)	(2.0, 309.5)	(3.0, 225.5)	(4.0, 228.0)	(5.0, 273.0)	(6.0, 395.5)	(7.0, 508.5)	(8.0, 671.5)	(9.0, 868.5)	(10.0, 2097.5)	(11.0, 3916.5)	(12.0, 7336.0)	(13.0, 12953.0)	(14.0, 21939.0)	(15.0, 38141.5)	(16.0, 58147.0)	(17.0, 85054.0)	(18.0, 125854.5)	(19.0, 183510.5)	(20.0, 268219.5)	(21.0, 375484.0)	(22.0, 481183.0)	(23.0, 584423.0)	(24.0, 712351.5)	(25.0, 842426.0)	(26.0, 983221.5)	(27.0, 1142774.5)	(28.0, 1290257.0)	(29.0, 1473765.0)	(30.0, 1696083.5)	(31.0, 1933410.5)	(32.0, 2222990.5)	(33.0, 2584898.0)	(34.0, 2969181.5)	(35.0, 3344909.5)	(36.0, 3701137.0)	(37.0, 4027831.0)	(38.0, 4338101.0)	(39.0, 4643445.5)	(40.0, 4896864.0)	(41.0, 5054573.0)	(42.0, 5142384.5)	(43.0, 5149493.0)	(44.0, 5083829.5)	(45.0, 4956611.5)	(46.0, 4764836.5)	(47.0, 4526417.5)	(48.0, 4277916.5)	(49.0, 4038555.5)	(50.0, 3825069.0)	(51.0, 3639855.5)	(52.0, 3454507.0)	(53.0, 3279545.0)	(54.0, 3091999.5)	(55.0, 2785361.0)	(56.0, 2415925.5)	(57.0, 2043208.5)	(58.0, 1658881.5)	(59.0, 1314826.5)	(60.0, 1013374.5)	(61.0, 748385.0)	(62.0, 529379.0)	(63.0, 364009.0)	(64.0, 236879.5)	(65.0, 149344.5)	(66.0, 101292.5)	(67.0, 72918.0)	(68.0, 51866.0)	(69.0, 41145.5)	(70.0, 34547.5)	(71.0, 28505.0)	(72.0, 22398.5)	(73.0, 18036.5)	(74.0, 13812.5)	(75.0, 12269.5)	(76.0, 13309.0)	(77.0, 12766.0)	(78.0, 10467.0)	(79.0, 6733.5)	(80.0, 4594.0)	(81.0, 3162.0)	(82.0, 1487.0)	(83.0, 933.5)	(84.0, 701.0)	(85.0, 499.5)	(86.0, 211.0)	(87.0, 90.0)	(88.0, 34.5)	(89.0, 16.0)	(90.0, 8.0)	(91.0, 4.0)	(92.0, 3.0)	(93.0, 1.5)	(94.0, 0.5)	(95.0, 0.5)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
