Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
BFJ.2_L1_1	(1, 0.007105993214665978)	(2, 0.010176262012901406)	(3, 0.016786534744518956)	(4, 0.006982063093903872)	(5, 0.0046433817827479795)	(6, 0.004283584657954765)	(7, 0.004865256676370462)	(8, 0.005315003082361979)	(9, 0.010304189879494548)	(10, 0.00480569026348803)	(15, 0.004793297251411819)	(20, 0.004856061860959079)	(25, 0.0053006111973702506)	(30, 0.005264631484890929)	(35, 0.005387362281903726)	(40, 0.005585250700539994)	(45, 0.0057375648167024545)	(50, 0.006267665913897789)	(55, 0.006501534045013378)	(60, 0.0071275810421535715)	(65, 0.007735238408471)	(70, 0.008422051142242936)	(75, 0.008752264947886485)	(80, 0.00985884099391717)	(85, 0.010642798951383273)	(90, 0.011228068941046901)	(95, 0.012505748508645916)	(100, 0.014225578765157478)	(105, 0.016394355878494353)	(110, 0.01693045359443624)	(115, 0.018026635501306232)	(120, 0.01922436015228453)	(125, 0.02060997885732151)	(130, 0.02082665668136365)	(135, 0.024223941088577797)	(140, 0.02430509532894782)	(145, 0.025001902427297343)	(150, 0.025329717585442276)
BFJ.2_L1_2	(1, 0.016378764669753312)	(2, 0.002230742173717927)	(3, 0.005394957998982694)	(4, 0.00224673315704207)	(5, 0.0006276460954726067)	(6, 0.0005237047038656784)	(7, 0.0056408193675913905)	(8, 0.0010254218056606602)	(9, 0.0013132595054952314)	(10, 0.0007987496170409352)	(15, 0.0005149096630373998)	(20, 0.0005908668338270782)	(25, 0.0005073139459584318)	(30, 0.0003633950960411462)	(35, 0.0003833838251963248)	(40, 0.0004057712018501248)	(45, 0.00042615970558840694)	(50, 0.0004065707510163319)	(55, 0.00045294460265634615)	(60, 0.000634042488802264)	(65, 0.0007651685520602354)	(70, 0.0024742048948280023)	(75, 0.00047693107764256045)	(80, 0.0010102303715027244)	(85, 0.006574293019138229)	(90, 0.0013728259183776635)	(95, 0.0029871156849498844)	(100, 0.003955769499809837)	(105, 0.004212025007579227)	(110, 0.006095363068580151)	(115, 0.00439272311914204)	(120, 0.004533843546977601)	(125, 0.006008611984046675)	(130, 0.0020208605175885525)	(135, 0.0028619862404384664)	(140, 0.0023374819874065807)	(145, 0.0032977405360213588)	(150, 0.003252166233547552)
BFJ.2_L2_1	(1, 0.002151098716559488)	(2, 0.0006598462320734625)	(3, 0.0006994370059978703)	(4, 0.00030352926675379275)	(5, 0.00025074156818791573)	(6, 0.00019795386962203875)	(7, 0.00019795386962203875)	(8, 0.0001319692464146925)	(9, 0.000211150794263508)	(10, 0.0001319692464146925)	(15, 0.000105575397131754)	(20, 8.97390875619909e-05)	(25, 0.0001002966272751663)	(30, 6.0705853350758555e-05)	(35, 6.33452382790524e-05)	(40, 6.0705853350758555e-05)	(45, 9.50178574185786e-05)	(50, 8.709970263369706e-05)	(55, 7.126339306393395e-05)	(60, 0.0001266904765581048)	(65, 0.00010293601220346016)	(70, 7.126339306393395e-05)	(75, 5.542708349417085e-05)	(80, 6.0705853350758555e-05)	(85, 3.6951388996113904e-05)	(90, 5.2787698565877e-05)	(95, 7.390277799222781e-05)	(100, 5.2787698565877e-05)	(105, 4.486954378099545e-05)	(110, 3.9590773924407754e-05)	(115, 5.2787698565877e-05)	(120, 7.126339306393395e-05)	(125, 6.86240081356401e-05)	(130, 6.0705853350758555e-05)	(135, 3.431200406782005e-05)	(140, 3.16726191395262e-05)	(145, 2.11150794263508e-05)	(150, 0.0009633754988272553)
BFJ.2_L2_2	(1, 0.22641963607368792)	(2, 0.22641963607368792)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.00018739632990886338)	(150, 0.18676287752607282)
BFJ.2_L3_1	(1, 0.013992668380688347)	(2, 0.008208903802425832)	(3, 0.009739051170052688)	(4, 0.013290147891148973)	(5, 0.0077854667950322375)	(6, 0.00987378112695065)	(7, 0.00798756173037918)	(8, 0.0055143046644665905)	(9, 0.006130213038857275)	(10, 0.006647961016079443)	(15, 0.007279267099829893)	(20, 0.005828032992671845)	(25, 0.006894324365835717)	(30, 0.009130841650341887)	(35, 0.006790389827657288)	(40, 0.007206127980371)	(45, 0.006657584584429297)	(50, 0.007308137804879457)	(55, 0.00688085137014592)	(60, 0.007211902121380913)	(65, 0.007839358777791423)	(70, 0.00804915256781825)	(75, 0.00829359120390455)	(80, 0.009598547072144812)	(85, 0.010235627296905176)	(90, 0.012123771407146615)	(95, 0.012258501364044577)	(100, 0.0145181152125904)	(105, 0.01694902857776363)	(110, 0.016766180779116395)	(115, 0.017632301930603295)	(120, 0.018477251231720514)	(125, 0.02079460649036546)	(130, 0.02044623331610073)	(135, 0.022621159763167833)	(140, 0.023366023953446564)	(145, 0.024755667223165544)	(150, 0.025127136961469926)
BFJ.2_L3_2	(1, 0.010585925184839877)	(2, 0.00451345355608173)	(3, 0.01768811862703245)	(4, 0.0031276597137026908)	(5, 0.0007698854679883548)	(6, 0.0006159083743906838)	(7, 0.0007602618996385002)	(8, 0.009594697644804872)	(9, 0.00440759430423333)	(10, 0.002367397814064191)	(15, 0.0016379313331452245)	(20, 0.002629158873180231)	(25, 0.000989302826365036)	(30, 0.0010739902278437549)	(35, 0.0004869525585026343)	(40, 0.0004542324261131293)	(45, 0.0014685565301877867)	(50, 0.00030025533251545834)	(55, 0.000442684144093304)	(60, 0.0005312209729119647)	(65, 0.00035607202894461404)	(70, 0.00033105075123499256)	(75, 0.0004388347167533622)	(80, 0.0006236072290705673)	(85, 0.0005042749815323723)	(90, 0.0005716399599813534)	(95, 0.0007159934852291699)	(100, 0.0010990115055533763)	(105, 0.0014762553848676702)	(110, 0.0023019575492851806)	(115, 0.001734167016643769)	(120, 0.002665728432909678)	(125, 0.0033663242087790812)	(130, 0.0027831359667779025)	(135, 0.0027253945566787755)	(140, 0.0032662390979405946)	(145, 0.0036338594089050345)	(150, 0.005745270304863097)
BFJ_WGS_L1_1	(1, 0.005849259230879022)	(2, 0.005845899518512061)	(3, 0.0)	(4, 8.399280917402388e-07)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 8.399280917402388e-07)	(9, 0.0)	(10, 5.039568550441432e-07)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 1.6798561834804774e-07)	(50, 3.359712366960955e-07)	(55, 1.6798561834804774e-07)	(60, 0.0)	(65, 3.359712366960955e-07)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 3.359712366960955e-07)	(100, 0.0)	(105, 1.6798561834804774e-07)	(110, 0.0)	(115, 1.6798561834804774e-07)	(120, 0.0)	(125, 0.0)	(130, 6.71942473392191e-07)	(135, 0.0)	(140, 1.6798561834804774e-07)	(145, 3.359712366960955e-07)	(150, 0.0)
BFJ_WGS_L1_2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 8.399280917402388e-07)	(6, 8.399280917402388e-07)	(7, 0.0)	(8, 3.359712366960955e-06)	(9, 0.0)	(10, 1.6798561834804774e-07)	(15, 0.0)	(20, 1.6798561834804774e-07)	(25, 0.0)	(30, 0.0)	(35, 3.359712366960955e-07)	(40, 0.0)	(45, 1.6798561834804774e-07)	(50, 5.039568550441432e-07)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 5.039568550441432e-07)	(115, 1.6798561834804774e-07)	(120, 1.6798561834804774e-07)	(125, 1.6798561834804774e-07)	(130, 1.6798561834804774e-07)	(135, 3.359712366960955e-07)	(140, 0.0)	(145, 1.6798561834804774e-07)	(150, 8.399280917402388e-07)
