Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
BFJ.2_L1_1	(1, 39.779596596663005)	(2, 39.778770082701165)	(3, 39.774577766580535)	(4, 39.725862655083304)	(5, 39.77261723204754)	(6, 39.75740047216976)	(7, 39.7548347188954)	(8, 39.73550801644984)	(9, 39.736888977780985)	(10, 39.738865815121486)	(15, 39.73664261669415)	(20, 39.7287523936753)	(25, 39.72810497472895)	(30, 39.716300802629426)	(35, 39.71354803880284)	(40, 39.70437219269543)	(45, 39.69999117497608)	(50, 39.686734457908564)	(55, 39.680312079231)	(60, 39.670871006674176)	(65, 39.661379010830956)	(70, 39.64971422413758)	(75, 39.64035402997665)	(80, 39.62647065425689)	(85, 39.61165655933246)	(90, 39.60245584324823)	(95, 39.58705463937104)	(100, 39.570717251370645)	(105, 39.55646029030071)	(110, 39.54346222738847)	(115, 39.53135390678612)	(120, 39.5215676128858)	(125, 39.50618499452899)	(130, 39.494024931102345)	(135, 39.4801324765018)	(140, 39.469660849033666)	(145, 39.45875462261849)	(150, 39.446420721212135)
BFJ.2_L1_2	(1, 39.77153374298368)	(2, 39.77875772966655)	(3, 39.79368345364782)	(4, 39.76719357023349)	(5, 39.8055416073093)	(6, 39.79279947208967)	(7, 39.78803361936338)	(8, 39.77252370478382)	(9, 39.77229001655127)	(10, 39.77131175215543)	(15, 39.77311580692111)	(20, 39.76923836925311)	(25, 39.75788057345985)	(30, 39.74600199531492)	(35, 39.73299076382791)	(40, 39.72054718826243)	(45, 39.706597985659805)	(50, 39.692045499224804)	(55, 39.676092202650615)	(60, 39.66028623500353)	(65, 39.63840609234077)	(70, 39.62052420722051)	(75, 39.5966672911812)	(80, 39.57022347379207)	(85, 39.53636981451639)	(90, 39.509911837111524)	(95, 39.477418694694805)	(100, 39.43731828970916)	(105, 39.404019557532294)	(110, 39.370012584703986)	(115, 39.331987277653624)	(120, 39.29928006794089)	(125, 39.262070716805624)	(130, 39.225802766851885)	(135, 39.19071287263963)	(140, 39.150206996283075)	(145, 39.10655741253736)	(150, 39.082378510053324)
BFJ.2_L2_1	(1, 37.8635255874512)	(2, 37.42357469584718)	(3, 36.478365159696644)	(4, 37.85351083724853)	(5, 37.32805416756901)	(6, 37.312516636373125)	(7, 37.40277014005764)	(8, 37.26749361235855)	(9, 37.28526393123452)	(10, 37.29012998046987)	(15, 37.26940043599999)	(20, 37.26853112818001)	(25, 37.26815464631384)	(30, 37.26473413541602)	(35, 37.26389536527966)	(40, 37.25615972396256)	(45, 37.25088277528158)	(50, 37.25092006979062)	(55, 37.248258936330515)	(60, 37.25235080117869)	(65, 37.237281100961354)	(70, 37.232612160992446)	(75, 37.21484147260259)	(80, 37.20426880921377)	(85, 37.20010752854198)	(90, 37.18621425497488)	(95, 37.161369170374016)	(100, 37.15283904779966)	(105, 37.13965407957191)	(110, 37.107620023060306)	(115, 37.09500740545427)	(120, 37.07163251104616)	(125, 37.04028424592046)	(130, 37.001170303277206)	(135, 36.983444088523385)	(140, 36.948454026467495)	(145, 36.91452850753471)	(150, 36.888695817881384)
BFJ.2_L2_2	(1, 36.96607149856226)	(2, 35.63057505731094)	(3, 36.28167410379355)	(4, 37.288309781441775)	(5, 36.618515839542816)	(6, 36.600388147947555)	(7, 36.6088413060574)	(8, 36.55880516627927)	(9, 36.56609937046711)	(10, 36.499334861801145)	(15, 36.49944473939571)	(20, 36.45036793685746)	(25, 36.458631903855654)	(30, 36.4406029780444)	(35, 36.41458513553836)	(40, 36.39986491627938)	(45, 36.39303416169109)	(50, 36.36259864866131)	(55, 36.341970799692724)	(60, 36.328015395004414)	(65, 36.30248436065453)	(70, 36.260271410591564)	(75, 36.24903837309368)	(80, 36.20873805331901)	(85, 36.18625659070913)	(90, 36.155409069692034)	(95, 36.10369034841597)	(100, 36.05348256943595)	(105, 36.03004987249791)	(110, 35.98880174959548)	(115, 35.95709529354117)	(120, 35.9148495095297)	(125, 35.84300434323987)	(130, 35.79130953479125)	(135, 35.70456799669232)	(140, 35.6301848242493)	(145, 35.559220974980875)	(150, 35.43928589857134)
BFJ.2_L3_1	(1, 39.735255827166874)	(2, 39.785592960013304)	(3, 39.785740104373374)	(4, 39.69914877613232)	(5, 39.773150359786726)	(6, 39.73430347884297)	(7, 39.75687228639431)	(8, 39.73900873011626)	(9, 39.743614281221454)	(10, 39.74474582038803)	(15, 39.741682176651)	(20, 39.73574260650114)	(25, 39.73549551176019)	(30, 39.72256405350858)	(35, 39.72092427445031)	(40, 39.70981525058425)	(45, 39.70137110827708)	(50, 39.68990062318379)	(55, 39.686565710302105)	(60, 39.67541451595953)	(65, 39.66636809225075)	(70, 39.65960982589426)	(75, 39.65370074320894)	(80, 39.642645207135764)	(85, 39.630568437236434)	(90, 39.62346626304138)	(95, 39.608684269584636)	(100, 39.5947576573771)	(105, 39.58150708159901)	(110, 39.57094121193061)	(115, 39.55942051105767)	(120, 39.548844671372464)	(125, 39.53572272420893)	(130, 39.524179658163156)	(135, 39.5108217988451)	(140, 39.50228296062536)	(145, 39.490124910067756)	(150, 39.48468668933466)
BFJ.2_L3_2	(1, 39.75082743440672)	(2, 39.759088594185286)	(3, 39.78367498284118)	(4, 39.77080355640893)	(5, 39.80283868320329)	(6, 39.79096031278907)	(7, 39.7776107874812)	(8, 39.78406088793201)	(9, 39.796300238395034)	(10, 39.77926378932238)	(15, 39.76204327988147)	(20, 39.79314468958025)	(25, 39.77990466123307)	(30, 39.76996272599507)	(35, 39.761373017593044)	(40, 39.752070799437526)	(45, 39.7388230914828)	(50, 39.7257267045168)	(55, 39.71203719778627)	(60, 39.697567970300895)	(65, 39.6779599690352)	(70, 39.66444911422752)	(75, 39.64186641024348)	(80, 39.61869576397467)	(85, 39.593153812723045)	(90, 39.57027832129553)	(95, 39.543712287641526)	(100, 39.5054861076092)	(105, 39.47936381669181)	(110, 39.45011215306555)	(115, 39.417548692368776)	(120, 39.39066425333235)	(125, 39.357086276060144)	(130, 39.3248302113836)	(135, 39.28960215783499)	(140, 39.25712463560359)	(145, 39.215995044247244)	(150, 39.193451623669205)
BFJ_WGS_L1_1	(1, 37.52439095323196)	(2, 37.398899506055926)	(3, 37.39856472751712)	(4, 37.405927595964286)	(5, 37.411685890982824)	(6, 37.39523153168002)	(7, 37.374312341422105)	(8, 37.3613225175121)	(9, 37.35013963930514)	(10, 37.340394704552395)	(15, 37.32468391679064)	(20, 37.322817789754254)	(25, 37.3189395847367)	(30, 37.31474785136105)	(35, 37.30967192904294)	(40, 37.30444529506762)	(45, 37.29590384288184)	(50, 37.28667139865355)	(55, 37.27704058661048)	(60, 37.266616208826484)	(65, 37.254489523581114)	(70, 37.23897576951083)	(75, 37.224598560778176)	(80, 37.20563646680854)	(85, 37.18427441774484)	(90, 37.16313776842411)	(95, 37.139230287040974)	(100, 37.11164589108731)	(105, 37.0810038393869)	(110, 37.04735363898131)	(115, 37.011412460791846)	(120, 36.968384170947004)	(125, 36.927774472520746)	(130, 36.8803235816254)	(135, 36.82774971396039)	(140, 36.767784944408234)	(145, 36.70252781650756)	(150, 36.66111685859906)
BFJ_WGS_L1_2	(1, 36.668350630098516)	(2, 36.80228210310368)	(3, 36.85532174785239)	(4, 36.911242455146436)	(5, 36.880638541220954)	(6, 36.87244159898085)	(7, 36.82870530015036)	(8, 36.81268581361705)	(9, 36.77551575343511)	(10, 36.74178316616287)	(15, 36.71118476216567)	(20, 36.69546824777418)	(25, 36.68767462220517)	(30, 36.665622382390346)	(35, 36.643901979686156)	(40, 36.61883018998225)	(45, 36.596521536919575)	(50, 36.56840874892282)	(55, 36.54157908379484)	(60, 36.51267261078738)	(65, 36.48140344357582)	(70, 36.45278640810891)	(75, 36.42686209643146)	(80, 36.39455596071726)	(85, 36.36084556938478)	(90, 36.32051011084019)	(95, 36.272804894758224)	(100, 36.22897012611797)	(105, 36.17696896174246)	(110, 36.1148503242681)	(115, 36.05126463647144)	(120, 35.99063365779504)	(125, 35.91121567655901)	(130, 35.832178095396024)	(135, 35.74729003206686)	(140, 35.644668256163385)	(145, 35.539875429088816)	(150, 35.48349252784431)
