Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
BFJ.2_L1_1	(1.0, 40.434466283253)	(2.0, 7.15998323341097)	(3.0, 2.701246886973369)	(4.0, 1.7865224812715803)	(5.0, 1.491644258031374)	(6.0, 1.269724090757099)	(7.0, 1.1655936105001141)	(8.0, 1.1222603762085623)	(9.0, 1.0678851041556616)	('>10', 18.22625189442962)	('>50', 7.146969856526762)	('>100', 7.3441525107287395)	('>500', 2.3079973890595915)	('>1k', 3.1484741353824246)	('>5k', 1.446815167373662)	('>10k+', 2.180012721937369)
BFJ.2_L1_2	(1.0, 40.11611451000135)	(2.0, 7.415486096831482)	(3.0, 2.809862487532129)	(4.0, 1.8097252593203494)	(5.0, 1.4830035774540409)	(6.0, 1.361927254888324)	(7.0, 1.1805053930414053)	(8.0, 1.130799220528175)	(9.0, 1.0235100545829436)	('>10', 18.017229769640515)	('>50', 7.309335553067296)	('>100', 7.29306619053426)	('>500', 2.298996108268252)	('>1k', 3.177812192690109)	('>5k', 1.4169217927863509)	('>10k+', 2.1557045388330818)
BFJ.2_L2_1	(1.0, 52.80962095098051)	(2.0, 7.808013669365434)	(3.0, 4.443924758664548)	(4.0, 3.23351251167769)	(5.0, 2.4786498924259255)	(6.0, 1.9982076352878453)	(7.0, 1.7325332754416511)	(8.0, 1.4874719735253823)	(9.0, 1.3627826355617982)	('>10', 11.625659732504477)	('>50', 2.443440683384737)	('>100', 3.864615640535395)	('>500', 1.3059265992455)	('>1k', 2.7127855613758305)	('>5k', 0.5559221135918591)	('>10k+', 0.1369323664314781)
BFJ.2_L2_2	(1.0, 53.95045892833845)	(2.0, 7.70761022892915)	(3.0, 4.244080233748354)	(4.0, 3.111075806891432)	(5.0, 2.5735824811958836)	(6.0, 2.0429971149221484)	(7.0, 1.6980867254651941)	(8.0, 1.5230468348483832)	(9.0, 1.2313142139494142)	('>10', 11.255432614723366)	('>50', 2.3877425524315337)	('>100', 3.8133576669076255)	('>500', 1.2930214608617219)	('>1k', 2.4885137218753606)	('>5k', 0.6796794149119123)	('>10k+', 0.0)
BFJ.2_L3_1	(1.0, 49.92602891269149)	(2.0, 7.484222240695626)	(3.0, 4.124782188433876)	(4.0, 3.203236086284184)	(5.0, 2.5302164186896814)	(6.0, 2.1237298915822196)	(7.0, 1.76394207630915)	(8.0, 1.5629589459794286)	(9.0, 1.308974623867221)	('>10', 13.897926607758668)	('>50', 2.4635748365202836)	('>100', 4.534929751955518)	('>500', 1.0966553935238876)	('>1k', 3.038803903274343)	('>5k', 0.588019447053848)	('>10k+', 0.35199867538056234)
BFJ.2_L3_2	(1.0, 49.49885744626738)	(2.0, 7.708940899199593)	(3.0, 4.194966305119207)	(4.0, 3.177662545328741)	(5.0, 2.5818122514593718)	(6.0, 2.106194205604886)	(7.0, 1.772357119690549)	(8.0, 1.5527093738700954)	(9.0, 1.3513269011702693)	('>10', 14.057685922377344)	('>50', 2.367978216876547)	('>100', 4.568790221932655)	('>500', 1.2187032984099158)	('>1k', 2.9586559660875555)	('>5k', 0.5345273853153428)	('>10k+', 0.3488319412903632)
BFJ_WGS_L1_1	(1.0, 34.280941194352685)	(2.0, 10.645973602410214)	(3.0, 3.5962658054532146)	(4.0, 1.937733274098323)	(5.0, 1.2930324359317598)	(6.0, 0.9830447893702602)	(7.0, 0.754912607680836)	(8.0, 0.6384355299967284)	(9.0, 0.5248296590819869)	('>10', 11.103795814883513)	('>50', 28.86902140841382)	('>100', 5.350510840992354)	('>500', 0.01901053106928638)	('>1k', 0.002492506264990632)	('>5k', 0.0)	('>10k+', 0.0)
BFJ_WGS_L1_2	(1.0, 34.83791130443454)	(2.0, 10.616170905698542)	(3.0, 3.6623800687802404)	(4.0, 1.8458056140743189)	(5.0, 1.2771943311230551)	(6.0, 0.9583046536036408)	(7.0, 0.7539110634084758)	(8.0, 0.6146700379850316)	(9.0, 0.4862025230728185)	('>10', 10.375042136077246)	('>50', 29.121983484367725)	('>100', 5.4325060013605615)	('>500', 0.016261433167470928)	('>1k', 0.0016564428463618755)	('>5k', 0.0)	('>10k+', 0.0)
