Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
BFJ.2_L1_1	(0.0, 0.0014491735652991812)	(1.0, 0.0008095383364774735)	(2.0, 0.00014191906639481636)	(3.0, 0.00010494015472856138)	(4.0, 0.00011193616504379883)	(5.0, 0.00013992020630474854)	(6.0, 0.00019988600900678363)	(7.0, 0.00027384383233929353)	(8.0, 0.00036379253639234616)	(9.0, 0.0008265286472430503)	(10.0, 0.005535843019442872)	(11.0, 0.01061394707826021)	(12.0, 0.02061524353891463)	(13.0, 0.02436510506788189)	(14.0, 0.023293716059605528)	(15.0, 0.03727474295958501)	(16.0, 0.0537813295833652)	(17.0, 0.07580277119564255)	(18.0, 0.11870130701863342)	(19.0, 0.19714057467307544)	(20.0, 0.33035860309582654)	(21.0, 0.4867694051436347)	(22.0, 0.5922942264485409)	(23.0, 0.6746142809678496)	(24.0, 0.8094234020222947)	(25.0, 0.884360666798938)	(26.0, 0.9969034858800723)	(27.0, 1.158044590331026)	(28.0, 1.3088715767172296)	(29.0, 1.620514852789751)	(30.0, 1.8034035550206429)	(31.0, 1.9168718463234784)	(32.0, 2.0711618578157247)	(33.0, 2.4156324131474305)	(34.0, 2.7764476474356203)	(35.0, 2.9835795242689)	(36.0, 3.321222972962979)	(37.0, 3.634862110835433)	(38.0, 3.8885214539852213)	(39.0, 4.166356010494336)	(40.0, 4.417896561948652)	(41.0, 4.52025718773098)	(42.0, 4.597279263581565)	(43.0, 4.634357118822278)	(44.0, 4.538888562630503)	(45.0, 4.358407487378098)	(46.0, 4.1134941565524015)	(47.0, 3.8059875214362755)	(48.0, 3.500083972112384)	(49.0, 3.2168175133085106)	(50.0, 2.8696584911556635)	(51.0, 2.5405471767560397)	(52.0, 2.2888826959761386)	(53.0, 2.0598982812081923)	(54.0, 1.8297545275880072)	(55.0, 1.5400547375842506)	(56.0, 1.291734349735033)	(57.0, 1.12265577186642)	(58.0, 0.9275480379049436)	(59.0, 0.7190799231014536)	(60.0, 0.5421398284986039)	(61.0, 0.4093245703840014)	(62.0, 0.3210379184958402)	(63.0, 0.24551698657289722)	(64.0, 0.17619352035920954)	(65.0, 0.13409652743233588)	(66.0, 0.1335808215290984)	(67.0, 0.12468089697807135)	(68.0, 0.09351866817391377)	(69.0, 0.08076494136923594)	(70.0, 0.06881875404094553)	(71.0, 0.0571464105449944)	(72.0, 0.05098492431736029)	(73.0, 0.04359513856437951)	(74.0, 0.03404858277421552)	(75.0, 0.035866546026132214)	(76.0, 0.04583985844552569)	(77.0, 0.03624433058315504)	(78.0, 0.01804470946308739)	(79.0, 0.01182025914261615)	(80.0, 0.008594098957246662)	(81.0, 0.007541699119825945)	(82.0, 0.00539492338309309)	(83.0, 0.0029633100835255674)	(84.0, 0.0021008019546612956)	(85.0, 0.0017849820604305777)	(86.0, 0.0011413491114287343)	(87.0, 0.0006486300992270129)	(88.0, 0.00041776175882417776)	(89.0, 0.0002448603610333099)	(90.0, 0.00016890367761073215)	(91.0, 0.0001169333152689684)	(92.0, 8.195326369278128e-05)	(93.0, 5.496865247686549e-05)	(94.0, 4.697321211659415e-05)	(95.0, 4.297549193645848e-05)	(96.0, 3.3980621531153215e-05)	(97.0, 2.098803094571228e-05)	(98.0, 2.598518117088187e-05)	(99.0, 9.994300450339182e-05)	(100.0, 0.0001659053874756304)
BFJ.2_L1_2	(0.0, 0.0013992015875900895)	(1.0, 0.0008325249446161033)	(2.0, 0.00020288423020056298)	(3.0, 0.00015091388551864533)	(4.0, 0.0001569104637511743)	(5.0, 0.00015790989345659579)	(6.0, 0.00026584830164211694)	(7.0, 0.0005187040171137546)	(8.0, 0.0011153635512503855)	(9.0, 0.002902343864544014)	(10.0, 0.008530132535772438)	(11.0, 0.014165916644644233)	(12.0, 0.022543136435487183)	(13.0, 0.024162212558270002)	(14.0, 0.022484170082867315)	(15.0, 0.0379683345089625)	(16.0, 0.055079570495483864)	(17.0, 0.07506816460391372)	(18.0, 0.1190670579553895)	(19.0, 0.19932226273044074)	(20.0, 0.3330479561752473)	(21.0, 0.4937202733376281)	(22.0, 0.6023672771842931)	(23.0, 0.6828423564945371)	(24.0, 0.8131509997765076)	(25.0, 0.8934511788883027)	(26.0, 1.0121134678129966)	(27.0, 1.1710827567573392)	(28.0, 1.3209242542020672)	(29.0, 1.6368020080381733)	(30.0, 1.8241760886403002)	(31.0, 1.9253243714071877)	(32.0, 2.0710772019270367)	(33.0, 2.4204378497541734)	(34.0, 2.7751484447944312)	(35.0, 2.9709717041261916)	(36.0, 3.3090218059770735)	(37.0, 3.6230076393808166)	(38.0, 3.878220010097838)	(39.0, 4.159018780703355)	(40.0, 4.416056110062476)	(41.0, 4.523173986459846)	(42.0, 4.588606649273792)	(43.0, 4.619573978696277)	(44.0, 4.529057629135663)	(45.0, 4.355985387618118)	(46.0, 4.1125393028230235)	(47.0, 3.8024292578169048)	(48.0, 3.5013640516448508)	(49.0, 3.2200815570619095)	(50.0, 2.877216202890307)	(51.0, 2.551055316815119)	(52.0, 2.301164909279467)	(53.0, 2.0783020792675284)	(54.0, 1.8483183126044616)	(55.0, 1.5518484842179354)	(56.0, 1.2927693199706385)	(57.0, 1.1095118903251426)	(58.0, 0.9075821154932572)	(59.0, 0.7005022793893348)	(60.0, 0.5231354884275934)	(61.0, 0.3930177362193585)	(62.0, 0.30945641797877294)	(63.0, 0.2365830010079648)	(64.0, 0.16899057060060388)	(65.0, 0.12991486797803437)	(66.0, 0.13127209351799676)	(67.0, 0.12292585604802189)	(68.0, 0.09315584341263189)	(69.0, 0.08155546282180462)	(70.0, 0.06985813754955147)	(71.0, 0.05761012650961109)	(72.0, 0.051148813464061145)	(73.0, 0.04355414713256322)	(74.0, 0.033720758260921156)	(75.0, 0.03581256463436834)	(76.0, 0.04528615881205866)	(77.0, 0.03480414006159805)	(78.0, 0.01680241220754613)	(79.0, 0.011140642926333376)	(80.0, 0.007801548280520169)	(81.0, 0.0053359551972453475)	(82.0, 0.0031252166888530064)	(83.0, 0.0018529426738514469)	(84.0, 0.0011073681136070136)	(85.0, 0.0007385785523064829)	(86.0, 0.00044274735950172115)	(87.0, 0.00023986312930115815)	(88.0, 0.00012692757258852953)	(89.0, 7.795551702287641e-05)	(90.0, 5.6967493209025065e-05)	(91.0, 5.097091497649611e-05)	(92.0, 5.29697743873391e-05)	(93.0, 3.198175057348775e-05)	(94.0, 1.5990875286743876e-05)	(95.0, 7.995437643371938e-06)	(96.0, 6.996007937950446e-06)	(97.0, 5.996578232528954e-06)	(98.0, 4.997148527107462e-06)	(99.0, 4.997148527107462e-06)	(100.0, 2.6984602046380297e-05)
BFJ.2_L2_1	(0.0, 0.0010425516120784223)	(1.0, 0.000574063229435587)	(2.0, 9.897641886820466e-05)	(3.0, 9.897641886820466e-05)	(4.0, 9.897641886820466e-05)	(5.0, 0.00012537013056639255)	(6.0, 0.0001913544098118623)	(7.0, 0.00016496069811367442)	(8.0, 0.0001913544098118623)	(9.0, 0.0007060317879265265)	(10.0, 0.005120380069448454)	(11.0, 0.01006260258493414)	(12.0, 0.02103578822345576)	(13.0, 0.024664923581956603)	(14.0, 0.022329080096666967)	(15.0, 0.03749886589520047)	(16.0, 0.055070479458269074)	(17.0, 0.07682549632550045)	(18.0, 0.12172779835204263)	(19.0, 0.2017469337930238)	(20.0, 0.3401753532220948)	(21.0, 0.5055055632995439)	(22.0, 0.611364142493051)	(23.0, 0.6902549467589346)	(24.0, 0.8265322786846033)	(25.0, 0.8984155524946181)	(26.0, 1.008180401019457)	(27.0, 1.1735106110969062)	(28.0, 1.3339579845101903)	(29.0, 1.6675481066635873)	(30.0, 1.845586888923714)	(31.0, 1.9483969944160806)	(32.0, 2.1044300195478427)	(33.0, 2.45848186669526)	(34.0, 2.817350566227596)	(35.0, 3.0001468150213215)	(36.0, 3.334667315512079)	(37.0, 3.6584785674812976)	(38.0, 3.9141148621340967)	(39.0, 4.198922806641318)	(40.0, 4.458274016215637)	(41.0, 4.557692529754786)	(42.0, 4.630690937884049)	(43.0, 4.663432337245651)	(44.0, 4.575138773187288)	(45.0, 4.388977326152045)	(46.0, 4.130741250896974)	(47.0, 3.812195544411544)	(48.0, 3.4948375549525323)	(49.0, 3.208307420757005)	(50.0, 2.8487524847205155)	(51.0, 2.504261759635767)	(52.0, 2.24800521275806)	(53.0, 2.0181357791506174)	(54.0, 1.7805857754390018)	(55.0, 1.4767677600811606)	(56.0, 1.2240215768593132)	(57.0, 1.0565336808505374)	(58.0, 0.8629094118326309)	(59.0, 0.6583317524599763)	(60.0, 0.4875842330564743)	(61.0, 0.3670837422983974)	(62.0, 0.2925544988906393)	(63.0, 0.22540889633044925)	(64.0, 0.16092246022385168)	(65.0, 0.12382609843204857)	(66.0, 0.12868913981243968)	(67.0, 0.12246022385166734)	(68.0, 0.09053043112478452)	(69.0, 0.07783505579795613)	(70.0, 0.06698724029000092)	(71.0, 0.05524203858430728)	(72.0, 0.04828729555183477)	(73.0, 0.04076508771785122)	(74.0, 0.031857210019712805)	(75.0, 0.03501125856764626)	(76.0, 0.04703359424617085)	(77.0, 0.03689181052614215)	(78.0, 0.016278321689857392)	(79.0, 0.009891043458895918)	(80.0, 0.006981136744170701)	(81.0, 0.005529482600770366)	(82.0, 0.0035103636558589915)	(83.0, 0.0017485834000049488)	(84.0, 0.0010755437517011573)	(85.0, 0.0008775909139647479)	(86.0, 0.000560866373586493)	(87.0, 0.00032992139622734884)	(88.0, 0.00015836227018912745)	(89.0, 4.618899547182884e-05)	(90.0, 1.3196855849093952e-05)	(91.0, 1.979528377364093e-05)	(92.0, 6.598427924546976e-06)	(93.0, 0.0)	(94.0, 6.598427924546976e-06)	(95.0, 6.598427924546976e-06)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
BFJ.2_L2_2	(0.0, 0.0013856674869158346)	(1.0, 0.0007654163261058898)	(2.0, 0.00012536991548286124)	(3.0, 9.237783246105564e-05)	(4.0, 8.577941585669453e-05)	(5.0, 0.00010557466566977789)	(6.0, 0.00017815724831775017)	(7.0, 0.00023754299775700024)	(8.0, 0.000336519246822417)	(9.0, 0.0007720147427102507)	(10.0, 0.005331520616323784)	(11.0, 0.010689434899065011)	(12.0, 0.020738823387506995)	(13.0, 0.023741102942491304)	(14.0, 0.022843718284298188)	(15.0, 0.03978185370769318)	(16.0, 0.0569509337122408)	(17.0, 0.07861353542435835)	(18.0, 0.12419539732728495)	(19.0, 0.20569244080774915)	(20.0, 0.34658183214406774)	(21.0, 0.5148480539718806)	(22.0, 0.6239528725249917)	(23.0, 0.703608957772839)	(24.0, 0.8379725150874446)	(25.0, 0.9175692145858527)	(26.0, 1.033767330988652)	(27.0, 1.197467448526247)	(28.0, 1.3529525373914122)	(29.0, 1.679231041643861)	(30.0, 1.8653855708860967)	(31.0, 1.9651008426112018)	(32.0, 2.106036422863751)	(33.0, 2.4563397619726786)	(34.0, 2.8029809798661853)	(35.0, 2.9872879524592)	(36.0, 3.323602648366882)	(37.0, 3.6446881987516986)	(38.0, 3.9144842568708156)	(39.0, 4.18410875615822)	(40.0, 4.439196943666216)	(41.0, 4.5537322590847165)	(42.0, 4.62403178958758)	(43.0, 4.662058464478513)	(44.0, 4.570419654677146)	(45.0, 4.380827350384038)	(46.0, 4.1247691956352)	(47.0, 3.8146436152302274)	(48.0, 3.512587898332389)	(49.0, 3.2126040842483197)	(50.0, 2.8532147254751865)	(51.0, 2.520390591951212)	(52.0, 2.2539795215501317)	(53.0, 2.025252008376558)	(54.0, 1.7924862642411152)	(55.0, 1.4888667226080425)	(56.0, 1.2231352891172116)	(57.0, 1.0316030503424216)	(58.0, 0.8324826324726161)	(59.0, 0.6352361649184491)	(60.0, 0.46953672714973277)	(61.0, 0.35208491159210487)	(62.0, 0.27949573052752824)	(63.0, 0.21361713914958683)	(64.0, 0.1534461781344178)	(65.0, 0.11987343445142842)	(66.0, 0.12541610439909176)	(67.0, 0.12011757586578979)	(68.0, 0.08913141149170999)	(69.0, 0.0778085285986263)	(70.0, 0.06692773961803482)	(71.0, 0.05490542456488886)	(72.0, 0.04898004645417258)	(73.0, 0.04090358453043457)	(74.0, 0.031302888371089146)	(75.0, 0.03383008193055945)	(76.0, 0.044394146914141605)	(77.0, 0.03468127767252204)	(78.0, 0.015427098020996295)	(79.0, 0.00967987715859776)	(80.0, 0.006697392853426534)	(81.0, 0.004434135958130672)	(82.0, 0.0023886268107787246)	(83.0, 0.001233903905015529)	(84.0, 0.0007324242430840841)	(85.0, 0.00035631449663550035)	(86.0, 0.00019135408152647245)	(87.0, 0.00013196833208722235)	(88.0, 6.598416604361118e-05)	(89.0, 2.6393666417444472e-05)	(90.0, 1.3196833208722236e-05)	(91.0, 6.598416604361118e-06)	(92.0, 6.598416604361118e-06)	(93.0, 6.598416604361118e-06)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
BFJ.2_L3_1	(0.0, 0.0013665413795225603)	(1.0, 0.0007410118748115292)	(2.0, 0.00011548237010049806)	(3.0, 0.00012029413552135213)	(4.0, 0.00014916472804647665)	(5.0, 0.00018284708599245527)	(6.0, 0.00022615297478014202)	(7.0, 0.00028389415983039103)	(8.0, 0.0003512588757223482)	(9.0, 0.000899800133699714)	(10.0, 0.005701942023712091)	(11.0, 0.010744672184767172)	(12.0, 0.021123650197549436)	(13.0, 0.02495862723797014)	(14.0, 0.02387116825285712)	(15.0, 0.03846525277430756)	(16.0, 0.05467609047716497)	(17.0, 0.07699787026450708)	(18.0, 0.12034225317556067)	(19.0, 0.19904830016447095)	(20.0, 0.3334794024922924)	(21.0, 0.49162288481408273)	(22.0, 0.5988771360449203)	(23.0, 0.6812401247536798)	(24.0, 0.8150890034655778)	(25.0, 0.8901621675617432)	(26.0, 1.0045907610350742)	(27.0, 1.161406196100709)	(28.0, 1.3070775824516454)	(29.0, 1.6248946884990578)	(30.0, 1.8111244455823734)	(31.0, 1.9230846033948064)	(32.0, 2.0689725191896815)	(33.0, 2.4110746053161445)	(34.0, 2.773328365025144)	(35.0, 2.973377512397153)	(36.0, 3.3065585854333523)	(37.0, 3.6133808074941127)	(38.0, 3.8621202091597437)	(39.0, 4.143391956835769)	(40.0, 4.393791417571595)	(41.0, 4.499765739200486)	(42.0, 4.589789058459245)	(43.0, 4.622557180975261)	(44.0, 4.522804472035535)	(45.0, 4.349556858057683)	(46.0, 4.109170681162656)	(47.0, 3.797199870101581)	(48.0, 3.493750695600838)	(49.0, 3.219244290106534)	(50.0, 2.88231966357291)	(51.0, 2.553036120527602)	(52.0, 2.298998965133611)	(53.0, 2.075511708396622)	(54.0, 1.8488342511856068)	(55.0, 1.5583960903828544)	(56.0, 1.3057639704917523)	(57.0, 1.1340224390906282)	(58.0, 0.9325586326848887)	(59.0, 0.7251859783423401)	(60.0, 0.5495854110736911)	(61.0, 0.4137348379467177)	(62.0, 0.3237067069225377)	(63.0, 0.2469494249290734)	(64.0, 0.17656773211824067)	(65.0, 0.13436854937735032)	(66.0, 0.13443110232782143)	(67.0, 0.12528874802819867)	(68.0, 0.09394490807675517)	(69.0, 0.08207428278350813)	(70.0, 0.06967917505938802)	(71.0, 0.05692318492870383)	(72.0, 0.05091810168347793)	(73.0, 0.04312785346711517)	(74.0, 0.0333888402553065)	(75.0, 0.0359871935825677)	(76.0, 0.04654901868134242)	(77.0, 0.03659347602559532)	(78.0, 0.017591814378642538)	(79.0, 0.011442378170791015)	(80.0, 0.008213683573397924)	(81.0, 0.007376436390169313)	(82.0, 0.005312189024622911)	(83.0, 0.00270902393194085)	(84.0, 0.0017081767244032005)	(85.0, 0.0013280472561557277)	(86.0, 0.0009527295533291089)	(87.0, 0.000505235369189679)	(88.0, 0.00025502356730526657)	(89.0, 0.00013472943178391439)	(90.0, 8.661177757537354e-05)	(91.0, 4.330588878768677e-05)	(92.0, 9.62353084170817e-06)	(93.0, 0.0)	(94.0, 4.811765420854085e-06)	(95.0, 1.4435296262562258e-05)	(96.0, 3.849412336683268e-05)	(97.0, 4.330588878768677e-05)	(98.0, 5.774118505024903e-05)	(99.0, 0.00031276475235551555)	(100.0, 0.000562976554239928)
BFJ.2_L3_2	(0.0, 0.0013857842403227029)	(1.0, 0.000793938887684882)	(2.0, 0.00014916427586806873)	(3.0, 0.00010104676752353043)	(4.0, 0.00015397602670252255)	(5.0, 0.0001780347808747917)	(6.0, 0.00028389329923277594)	(7.0, 0.0005148573392865598)	(8.0, 0.0009431031635529506)	(9.0, 0.002319263902206746)	(10.0, 0.007809471604318566)	(11.0, 0.01342959657896064)	(12.0, 0.02174911377173131)	(13.0, 0.023981766158917887)	(14.0, 0.022807698955311154)	(15.0, 0.038955934755738206)	(16.0, 0.05640815503230224)	(17.0, 0.07637692099528565)	(18.0, 0.11968749025620457)	(19.0, 0.1993075313139121)	(20.0, 0.33457547077207817)	(21.0, 0.5005520040557285)	(22.0, 0.6084843870233624)	(23.0, 0.6829510429373699)	(24.0, 0.815918965496667)	(25.0, 0.8963040749370526)	(26.0, 1.0140235591019655)	(27.0, 1.17472160172022)	(28.0, 1.3234576317640225)	(29.0, 1.6439202373386474)	(30.0, 1.8285856108633167)	(31.0, 1.9261053650251925)	(32.0, 2.0662812903345014)	(33.0, 2.415036990815715)	(34.0, 2.7673533869144245)	(35.0, 2.957335745111165)	(36.0, 3.29669409621269)	(37.0, 3.6083896917669405)	(38.0, 3.863426921245497)	(39.0, 4.138856350760468)	(40.0, 4.394764507140061)	(41.0, 4.501094577079821)	(42.0, 4.56982562599916)	(43.0, 4.607809587086339)	(44.0, 4.516174604195)	(45.0, 4.348552452125967)	(46.0, 4.1078157461274065)	(47.0, 3.795908433536441)	(48.0, 3.501405223713694)	(49.0, 3.226995885375626)	(50.0, 2.8828402186921505)	(51.0, 2.5566516296245254)	(52.0, 2.3111945960573665)	(53.0, 2.0937467640975638)	(54.0, 1.8638364974765256)	(55.0, 1.5672113055357846)	(56.0, 1.3128862151807275)	(57.0, 1.1273402912533532)	(58.0, 0.9192561264173974)	(59.0, 0.7084533223599752)	(60.0, 0.5292877800390868)	(61.0, 0.3984658983519561)	(62.0, 0.3131535560570897)	(63.0, 0.23809986654127888)	(64.0, 0.17093263664313785)	(65.0, 0.13095179895966097)	(66.0, 0.13386290821450553)	(67.0, 0.12505259243662056)	(68.0, 0.09333353093590094)	(69.0, 0.08169871741819158)	(70.0, 0.0694720585478444)	(71.0, 0.05800565630934092)	(72.0, 0.05205833227795598)	(73.0, 0.04363295656682733)	(74.0, 0.03350903281113647)	(75.0, 0.035866790720018846)	(76.0, 0.045576903903946676)	(77.0, 0.03497661681564489)	(78.0, 0.01636957633881193)	(79.0, 0.010744639613335402)	(80.0, 0.007703613085960581)	(81.0, 0.005148573392865598)	(82.0, 0.0029592267631891054)	(83.0, 0.001982441343794978)	(84.0, 0.0012558669677924495)	(85.0, 0.0007169508743336206)	(86.0, 0.00041862232259748324)	(87.0, 0.00023577579088823766)	(88.0, 0.00012510552169579957)	(89.0, 3.849400667563064e-05)	(90.0, 4.811750834453829e-05)	(91.0, 8.179976418571511e-05)	(92.0, 6.73645116823536e-05)	(93.0, 4.3305757510084464e-05)	(94.0, 2.4058754172269146e-05)	(95.0, 9.62350166890766e-06)	(96.0, 4.81175083445383e-06)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 4.81175083445383e-06)	(100.0, 4.81175083445383e-06)
BFJ_WGS_L1_1	(0.0, 0.002465158563849352)	(1.0, 0.001352267559726561)	(2.0, 0.00020032038074210232)	(3.0, 0.0001583244937940725)	(4.0, 0.0001600043292719937)	(5.0, 0.00019528087430833877)	(6.0, 0.0003271479593251525)	(7.0, 0.0004804329466854614)	(8.0, 0.0006370776050016127)	(9.0, 0.0007307284328957192)	(10.0, 0.0016995735447867678)	(11.0, 0.0032467020199521872)	(12.0, 0.006186414106314276)	(13.0, 0.010913891100053995)	(14.0, 0.018388739017933826)	(15.0, 0.03136966767356985)	(16.0, 0.04706479050265704)	(17.0, 0.06862757865612297)	(18.0, 0.10209536084161638)	(19.0, 0.1494331246094356)	(20.0, 0.21933863810538715)	(21.0, 0.30687696465420794)	(22.0, 0.39501667230412457)	(23.0, 0.48160757164339774)	(24.0, 0.586426365753594)	(25.0, 0.6962947453104212)	(26.0, 0.8161148901973231)	(27.0, 0.9478169313784309)	(28.0, 1.068379563546574)	(29.0, 1.2223293457972704)	(30.0, 1.4109009572067919)	(31.0, 1.611299870257487)	(32.0, 1.8542565752235767)	(33.0, 2.1605203999283433)	(34.0, 2.4867667075607214)	(35.0, 2.8067295905879357)	(36.0, 3.1110229682771005)	(37.0, 3.385819694850578)	(38.0, 3.6478610106813303)	(39.0, 3.905625045426426)	(40.0, 4.119873362074842)	(41.0, 4.256234426953965)	(42.0, 4.333087320027729)	(43.0, 4.339160345239283)	(44.0, 4.282452039216751)	(45.0, 4.172344283104319)	(46.0, 4.005132199755435)	(47.0, 3.798607766634501)	(48.0, 3.582834579331001)	(49.0, 3.377417577748886)	(50.0, 3.1939278886189455)	(51.0, 3.027741344829332)	(52.0, 2.865196264396983)	(53.0, 2.717990181672401)	(54.0, 2.5629758036875723)	(55.0, 2.319794000767441)	(56.0, 2.030962248775932)	(57.0, 1.7404011061599032)	(58.0, 1.432918560815905)	(59.0, 1.1501552144883862)	(60.0, 0.9004044149318442)	(61.0, 0.6724708986036733)	(62.0, 0.47842512333047604)	(63.0, 0.3306315181474916)	(64.0, 0.2154787961359937)	(65.0, 0.13399669644394832)	(66.0, 0.08781087985511352)	(67.0, 0.06162392458980003)	(68.0, 0.04333009627636875)	(69.0, 0.03421530897316836)	(70.0, 0.02857904098587327)	(71.0, 0.02385282386874199)	(72.0, 0.019232016427850267)	(73.0, 0.015682524063002783)	(74.0, 0.011824781887956763)	(75.0, 0.010987383902213049)	(76.0, 0.012433302289833716)	(77.0, 0.011927251852109955)	(78.0, 0.009845515736096117)	(79.0, 0.006320800944547972)	(80.0, 0.004521697147694373)	(81.0, 0.0039009979386024924)	(82.0, 0.0022749171959747768)	(83.0, 0.0011914233127156067)	(84.0, 0.001131369194379924)	(85.0, 0.0009596060167624818)	(86.0, 0.0004102998154822516)	(87.0, 0.00018814157352717368)	(88.0, 0.00014404589223174235)	(89.0, 0.00010750947058695638)	(90.0, 8.105206180969759e-05)	(91.0, 4.7875311120754015e-05)	(92.0, 1.8058231387652832e-05)	(93.0, 4.619547564283282e-06)	(94.0, 1.6798354779211935e-06)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
BFJ_WGS_L1_2	(0.0, 0.0044053258045629404)	(1.0, 0.002369384956086188)	(2.0, 0.0002599520184008065)	(3.0, 0.000189399612760523)	(4.0, 0.0001914993867379124)	(5.0, 0.0002292953183309214)	(6.0, 0.00033218424322300154)	(7.0, 0.00042709402700100195)	(8.0, 0.0005639992903267902)	(9.0, 0.0007294614797450741)	(10.0, 0.0017617103670296984)	(11.0, 0.003289505912978219)	(12.0, 0.006161576759251426)	(13.0, 0.010879348931649909)	(14.0, 0.018426776515978332)	(15.0, 0.03203541166343897)	(16.0, 0.048838222985304346)	(17.0, 0.07143767034915088)	(18.0, 0.1057064016149412)	(19.0, 0.15413222899108628)	(20.0, 0.22528013053135743)	(21.0, 0.3153726128504311)	(22.0, 0.4041502167048636)	(23.0, 0.49086248287513584)	(24.0, 0.5983108569817193)	(25.0, 0.7075616770704938)	(26.0, 0.8258171678839049)	(27.0, 0.9598272628496687)	(28.0, 1.083699229097801)	(29.0, 1.2378293583149098)	(30.0, 1.4245567987118073)	(31.0, 1.623890022204564)	(32.0, 1.8671110415535315)	(33.0, 2.171080621842352)	(34.0, 2.4938440191383986)	(35.0, 2.8094215699290226)	(36.0, 3.1086204637412145)	(37.0, 3.383013887648914)	(38.0, 3.6436126364347565)	(39.0, 3.9000744105303466)	(40.0, 4.112923039205968)	(41.0, 4.245384340886009)	(42.0, 4.319138061932221)	(43.0, 4.3251085592595295)	(44.0, 4.269957155833806)	(45.0, 4.163105537491597)	(46.0, 4.002031875686057)	(47.0, 3.801781470919976)	(48.0, 3.5930630976578795)	(49.0, 3.3920214980571193)	(50.0, 3.212712139167543)	(51.0, 3.057149544143059)	(52.0, 2.901473561323796)	(53.0, 2.754521299470995)	(54.0, 2.597000035280402)	(55.0, 2.3394514181741157)	(56.0, 2.0291589984845806)	(57.0, 1.7161104154723241)	(58.0, 1.3933104821090712)	(59.0, 1.1043353877927884)	(60.0, 0.8511429617799939)	(61.0, 0.6285757392274235)	(62.0, 0.4446304993505672)	(63.0, 0.3057346502942138)	(64.0, 0.19895736395080404)	(65.0, 0.12543587790649194)	(66.0, 0.08507654224188593)	(67.0, 0.06124452755331182)	(68.0, 0.04356275084451125)	(69.0, 0.03455850007467006)	(70.0, 0.029016776593543982)	(71.0, 0.023941622890193828)	(72.0, 0.018812714973022504)	(73.0, 0.015149029337273495)	(74.0, 0.011601251225076381)	(75.0, 0.01030527072623165)	(76.0, 0.011178356746030158)	(77.0, 0.010722285838141181)	(78.0, 0.008791333688533898)	(79.0, 0.005655531230700584)	(80.0, 0.0038585446608507437)	(81.0, 0.0026557941266021007)	(82.0, 0.0012489455617512094)	(83.0, 0.0007840556031571983)	(84.0, 0.000588776623259985)	(85.0, 0.0004195348406824002)	(86.0, 0.00017722092369166454)	(87.0, 7.559186318601804e-05)	(88.0, 2.8976880887973582e-05)	(89.0, 1.3438553455292098e-05)	(90.0, 6.719276727646049e-06)	(91.0, 3.3596383638230246e-06)	(92.0, 2.519728772867268e-06)	(93.0, 1.259864386433634e-06)	(94.0, 4.1995479547787807e-07)	(95.0, 4.1995479547787807e-07)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
