1	288200341
2	20728614
3	5857796
4	2899843
5	1742572
6	1118376
7	750317
8	512503
9	358604
10	263706
11	196229
12	153788
13	124790
14	103364
15	90287
16	79855
17	72409
18	67943
19	64604
20	61783
21	61277
22	61845
23	63101
24	64831
25	67164
26	70212
27	76003
28	80993
29	88731
30	96513
31	107200
32	119809
33	135276
34	154063
35	177403
36	205254
37	238205
38	282485
39	337412
40	403587
41	482689
42	578540
43	689884
44	816097
45	958700
46	1125984
47	1302872
48	1495873
49	1697995
50	1906343
51	2119096
52	2320526
53	2518323
54	2697138
55	2851859
56	2976065
57	3068202
58	3126082
59	3144546
60	3128304
61	3076205
62	2979326
63	2856366
64	2702429
65	2529911
66	2334663
67	2135209
68	1928268
69	1723734
70	1523585
71	1331236
72	1149655
73	979592
74	828953
75	697292
76	580651
77	474957
78	384121
79	311205
80	249539
81	197702
82	157770
83	125296
84	99058
85	78258
86	62059
87	50835
88	42666
89	36506
90	32753
91	30033
92	29288
93	29347
94	30373
95	31889
96	34421
97	36820
98	39905
99	43139
100	47232
101	51286
102	55527
103	60311
104	64965
105	69289
106	74817
107	79676
108	85400
109	90310
110	95129
111	100132
112	104186
113	107907
114	111906
115	113676
116	117898
117	119261
118	120704
119	120500
120	120169
121	120017
122	118274
123	116277
124	113871
125	111222
126	107500
127	104071
128	98883
129	93796
130	90050
131	85197
132	79827
133	74459
134	69562
135	64278
136	59549
137	54722
138	50597
139	46467
140	42787
141	38996
142	35396
143	32595
144	29538
145	27294
146	24989
147	23596
148	22151
149	20849
150	19740
151	18816
152	18623
153	18021
154	17874
155	18035
156	18131
157	18107
158	18981
159	19453
160	20194
161	20581
162	21293
163	22195
164	23067
165	23913
166	24250
167	25200
168	26384
169	26753
170	27951
171	28931
172	29559
173	30210
174	30724
175	30980
176	31538
177	31953
178	31936
179	32705
180	32357
181	32960
182	32738
183	32358
184	31855
185	31632
186	31490
187	30632
188	30405
189	29583
190	28935
191	27814
192	27068
193	25940
194	25470
195	24109
196	23091
197	22088
198	21053
199	20046
200	19225
201	18506
202	17619
203	16996
204	16453
205	15893
206	15754
207	15178
208	14400
